,Beijing,Guangzhou,Shanghai,Wuhan,Chengdu,Shenyang,Tianjin,Xian,Chongqing,Jinan,Haerbin,Hangzhou,Nanjing,Taiyuan,Changchun,Zhengzhou,Nanning,Kunming,Foshan,Shijiazhuang,Fuzhou,Shenzhen,Changsha,Qingdao,Dalian,Wulumuqi,Hefei,Jilin,Shiyan,Nanchang,Tangshan,Guiyang,Lanzhou,Yinchuan,Liuzhou,Dongguan,Guilin,Anshan,Shantou,Huhehaote,Wenzhou,Zhanjiang,Benxi,Zhenjiang,Xining,Baotou,Changzhou,Zhongshan,Kaifeng,Suuzhou,Qiqihaer,Jinzhou,Huizhou,Weifang,Jincheng,Xiangfan,Fushun,Cangzhou,Jingzhou,Xuzhou,Chengde,Nantong,Yantai,Hengyang,Liaocheng,Taian,Dandong,Yichang,Jiangmen,Yibin,Zhuzhou,Yangzhou,Zunyi,Datong,Xiamen,Mianyang,Jiamusi,Zibo,Zhangjiakou,Dongying,Jiaozuo,Langfang,Chaoyang,Anyang,Baise,Maoming,Jining,Baoding,Zhuhai,Bengbu,Handan,Suining,Yulin,Wuhu,Nanyang,Luzhou,Changde,Zaozhuang,Yanbian,Quanzhou,Yuxi,Zhaoqing,Binnzhou,Jinhua,Xinxiang,Luoyang,Tianshui,Shaoguan,Puyang,Nanchong,Xingtai,Tieling,Fuxin,Wuzhou,Qinhuangdao,Qingyuan,Ganzhou,Qinzhou,Yuulin,Shihezi,Meizhou,Huaihua,Shaoyang,Baoji,Suihua,Changzhi,Liaoyang,Yangjiang,Pingdingshan,Mudanjiang,Anqing,Xiangtan,Panjin,Yiyang,Qianjiang,Yingkou,Enshi,Luohe,Zhoukou,Linyi,Xiaogan,Huanggang,Hengshui,Jixi,Huangshi,Yili,Panzhihua,Xuchang,Taiizhou,Hechi,Wuxi,Xianyang,Weinan,Loudi,Kelamayi,Shangrao,Shuangyashan,Liaoyuan,Ezhou,Tongchuan,Xishuangbanna,Xianning,Heze,Daqing,Dezhou
Aba,16.116011,9.5438254,5.8646287,8.626673,120.91622,0.69919711,4.1066351,16.137589,20.331681,2.2312905,0.21117469,2.1821428,3.0072352,4.3608167,0.35048684,6.4825438,1.377118,5.8862882,1.2627445,1.1656634,1.0100633,3.322569,4.2854972,1.0847103,0.65413719,1.5049454,0.9678298,0.090128611,1.8723356,1.5222854,0.55404476,3.5259245,14.573127,2.3353056,1.0493065,1.090473,0.67193625,0.065807841,0.10157051,1.0299659,0.085458469,0.2070504,0.05507751,0.41935705,4.9303036,0.93240662,0.69439351,0.47580816,0.3695112,0.77843861,0.036554996,0.055691989,0.29804835,0.22962424,0.32311704,1.2863563,0.055763418,0.27593173,0.45325752,0.32368448,0.14559831,0.24863284,0.21405737,0.35410029,0.13801471,0.16905487,0.049379635,2.5136886,0.22236161,2.0141156,0.38085625,0.32343436,0.84896515,0.10207493,0.23583758,6.5411611,0.019585636,0.3184983,0.10170809,0.20718826,0.46125791,0.26291267,0.040063433,0.31647673,0.20758005,0.12292247,0.17351667,0.20034263,0.60064669,0.094339446,0.23050654,1.6545472,0.04857861,0.15175655,0.16139993,0.77605059,0.30393418,0.12384188,0.010206389,0.13242774,0.81430527,0.095506456,0.092713835,0.1766138,0.13645776,0.58766291,0.56180323,0.072420031,0.089723677,1.1374066,0.063156307,0.019166059,0.029713567,0.11083492,0.053706293,0.072728624,0.10363636,0.12368261,0.59696641,0.055468717,0.025378813,0.15373562,0.10070988,1.1656585,0.0057143017,0.18741315,0.045230962,0.06408412,0.1678119,0.018690678,0.083997692,0.24347641,0.061297287,0.14529795,0.18312097,0.034309839,0.2092779,0.18480617,0.065181727,0.054114605,0.13639206,0.069161891,0.057120138,0.0094998234,0.13994426,0.024166747,0.94211042,0.18474317,0.06343878,0.066583315,0.21755629,0.53189148,0.23875743,0.13117777,0.1451023,0.037417853,0.0047715203,0.011925057,0.19820692,0.3666009,0.094169581,0.11033219,0.063555342,0.022466057,0.062977138
Akesu,13.839848,3.6802536,3.2732405,2.7097584,3.6756331,0.86138322,3.253511,2.6862972,2.3819249,1.3158739,0.36989137,1.0479895,1.4547012,2.2207703,0.53998547,2.3013617,0.45487998,1.4483461,0.48460897,0.69752165,0.47756472,1.3589933,1.2274876,0.74177595,0.63066961,168.79253,0.41512557,0.13306181,0.35906542,0.56070724,0.4775902,0.61988869,2.7379851,1.0823384,0.28699693,0.43392663,0.18803611,0.070221298,0.045189363,0.84317538,0.042973855,0.085357951,0.066109352,0.21306522,1.6117408,0.92335912,0.34450614,0.19196514,0.14572404,0.41795201,0.075462469,0.061049526,0.12076296,0.14958567,0.11903178,0.30734367,0.069099536,0.18927339,0.11750796,0.15987231,0.1490054,0.1404424,0.16083273,0.10326399,0.073296244,0.092701899,0.054766496,0.52225201,0.088746509,0.19235138,0.11822921,0.16892317,0.1189002,0.07759868,0.10799104,0.16368614,0.039222678,0.19688882,0.092670116,0.14558053,0.16670123,0.19756967,0.043434722,0.13746675,0.062292456,0.047568542,0.088092962,0.14073314,0.2473835,0.042812938,0.1124536,0.088809667,0.017748801,0.067976346,0.04305601,0.080896449,0.069308789,0.063551093,0.015100054,0.060387582,0.25643535,0.034179111,0.061979562,0.086688289,0.055124835,0.17002075,0.05249914,0.025850035,0.04219511,0.070489464,0.034427179,0.025222158,0.036484983,0.038762793,0.049530444,0.025454286,0.03892516,0.045345255,0.26624818,10.132153,0.010616034,0.033373133,0.025076196,0.14389332,0.011000202,0.079507178,0.051528163,0.025326712,0.052601275,0.030832179,0.032444018,0.067237266,0.067132684,0.036069412,0.047805467,0.035742617,0.033842366,0.06296493,0.02471125,0.030416179,0.041006802,0.024088158,0.03513303,0.017080827,0.046910412,17.634878,0.18455773,0.063814503,0.033188311,0.01842759,0.11552137,0.093898263,0.055781302,0.031300285,26.471371,0.015964154,0.0091366957,0.016198876,0.066006725,0.079232075,0.047904421,0.033984362,0.029194961,0.041150035,0.038249093
Alaer,2.6292278,0.73448871,0.6381085,0.5276498,0.71625339,0.16494491,0.62012592,0.51409346,0.46483019,0.25223558,0.071120847,0.20476548,0.2826584,0.42105932,0.10357449,0.44175644,0.091458914,0.29156384,0.09687327,0.13265833,0.094257932,0.271665,0.24103457,0.14273533,0.12097657,24.165068,0.08063819,0.025571768,0.069323014,0.10990412,0.091100175,0.12299577,0.51299609,0.20167561,0.057214205,0.086693049,0.037379245,0.013475802,0.00899743,0.15839174,0.0084406617,0.017238681,0.012702925,0.041398417,0.29913267,0.17251141,0.067031406,0.038413736,0.028005669,0.081392403,0.014446516,0.011668527,0.024086973,0.028743222,0.022750701,0.059510848,0.013261269,0.036120146,0.022938967,0.030843042,0.028310706,0.027303139,0.030921486,0.020386306,0.014032278,0.017793954,0.01052132,0.10158095,0.017786142,0.037928841,0.023303432,0.032766441,0.023431757,0.014674335,0.021396738,0.031644516,0.0075755267,0.037782581,0.017537177,0.027893124,0.031933556,0.037621151,0.0082865675,0.026350562,0.012526194,0.0095629939,0.01693186,0.026741113,0.049560813,0.0082846041,0.021483931,0.017292979,0.0035669279,0.013231312,0.008302952,0.015937657,0.013559783,0.012237909,0.0029109743,0.011949106,0.051950676,0.0068260277,0.011865346,0.016973747,0.010566692,0.032624953,0.0099818666,0.0051335961,0.0080854716,0.013678688,0.006566118,0.0048340821,0.0069735964,0.0077612504,0.0094544022,0.0050671411,0.0077012743,0.0091380243,0.0501672,1.4439279,0.0021088678,0.0065795307,0.0049536289,0.027450769,0.0021114163,0.015156999,0.0098802643,0.0050856354,0.010115923,0.0059428859,0.0063222154,0.01323073,0.012849136,0.0070830874,0.0093153948,0.0068511031,0.006597913,0.012131267,0.0047640029,0.005856511,0.0079702412,0.004690326,0.0067029473,0.0032991491,0.0091570228,2.7513036,0.036974284,0.012275515,0.0065029162,0.0036898819,0.022476558,0.017903176,0.010648127,0.0061591504,4.1134261,0.0031281467,0.0017652533,0.0031088067,0.012868181,0.015091301,0.0098513522,0.0066400382,0.0056084411,0.0078789808,0.0073154165
Alashan,30.475683,3.2108947,4.2709254,3.988814,4.4138706,1.2446417,6.6805245,6.6686131,3.2413122,2.5576923,0.40653767,1.3494899,2.1079965,6.7163741,0.66811648,4.9025432,0.33277441,0.89224589,0.40937174,1.7511174,0.5073126,1.1505608,1.4972464,1.2282238,0.98181836,3.9785932,0.62064389,0.16116426,0.67635338,0.70198048,0.91898452,0.56304567,13.372852,9.878916,0.24907766,0.37117278,0.1747252,0.10310139,0.041181877,3.0738065,0.0494932,0.05881566,0.088940968,0.30555882,7.3723602,3.9018262,0.48156755,0.1592397,0.29335476,0.56293335,0.083057076,0.098304154,0.10668395,0.2618457,0.28990236,0.53086268,0.094243926,0.39854142,0.16453215,0.27421528,0.29703443,0.19368465,0.2626999,0.11196429,0.15336361,0.17738131,0.076875586,0.80206879,0.071388628,0.18479504,0.13272879,0.24998684,0.12584457,0.21737725,0.10732476,0.25340967,0.036928879,0.36448377,0.22719514,0.26849223,0.37783545,0.42932804,0.074034258,0.29294626,0.044373797,0.035817572,0.16604699,0.34037761,0.20081999,0.06938919,0.25870505,0.11820087,0.013360169,0.096242985,0.082844869,0.081864439,0.092056359,0.11330712,0.017085388,0.061492794,0.14273374,0.029304383,0.119497,0.1065265,0.11955093,0.37727652,0.15366333,0.024839945,0.089011981,0.10600183,0.080890212,0.034465697,0.055366772,0.031440937,0.090311287,0.023291277,0.040265362,0.032100267,1.1437475,0.13817742,0.010118877,0.036788692,0.026636898,0.39152319,0.011922202,0.20549019,0.074857267,0.019583091,0.10789438,0.033200808,0.045891872,0.078270658,0.10417281,0.043923083,0.069914338,0.054704039,0.048474602,0.12090949,0.045808166,0.05294821,0.063346943,0.035133784,0.077996723,0.016935778,0.064843154,0.048891818,0.11531108,0.1280628,0.039722487,0.014384838,0.15903985,0.26612345,0.15076269,0.036297638,0.3610071,0.019775665,0.0087399293,0.021106211,0.094014143,0.23339583,0.020401995,0.04627625,0.057429487,0.048270158,0.07877855
Aletai,0.95288392,0.15237499,0.17705323,0.13503409,0.1480233,0.061097879,0.21710098,0.13966476,0.10427809,0.080689401,0.027508322,0.054256691,0.078720404,0.14026275,0.039684811,0.12906948,0.016937258,0.048632689,0.019733446,0.044702577,0.022667387,0.055980332,0.056316125,0.045621814,0.042192322,25.284245,0.022077988,0.0095876055,0.017951116,0.027103045,0.032253541,0.024021176,0.14588191,0.068694671,0.011326494,0.017883681,0.0076694459,0.004780491,0.0019625165,0.059954665,0.0021488094,0.0031720862,0.0045728123,0.011628926,0.084089169,0.069156983,0.018529921,0.007808981,0.0082395442,0.022637189,0.0059480291,0.0042745028,0.0050731176,0.0092001426,0.0068787474,0.015429983,0.0048449483,0.012220862,0.0055922977,0.0091352939,0.010609582,0.00777458,0.010119485,0.0045273631,0.0044468032,0.0055683508,0.0037332529,0.0249162,0.0035487368,0.0073843166,0.0053078084,0.0093788976,0.0048206254,0.005322869,0.0049275242,0.0070696312,0.0029170857,0.012094029,0.006564265,0.0092351413,0.0094875256,0.013117004,0.0030643665,0.0080135378,0.0022682163,0.0018319853,0.0051806955,0.0093224645,0.0099881183,0.0023629461,0.0068050651,0.0037373754,0.00067816497,0.0035845237,0.002255425,0.0031771357,0.0031858991,0.0036992953,0.0010683931,0.0027856922,0.0083692862,0.0013871343,0.0039150104,0.0044287558,0.00317783,0.0092892046,0.0026496663,0.0011070253,0.0024960667,0.0030874567,0.0021411618,0.001803667,0.0026125826,0.0015268279,0.0033764829,0.001062055,0.0017398736,0.0016822119,0.016765521,1.161249,0.00046575017,0.0014225517,0.001068583,0.007373558,0.00084220202,0.0047573712,0.0035709936,0.00099139499,0.0028656019,0.0022323157,0.0016567392,0.0030127702,0.0046636131,0.0016223846,0.0023108668,0.0024383529,0.0015413086,0.0034289472,0.0013611005,0.0017993903,0.0020606262,0.0012185427,0.0022274742,0.0012427196,0.00231333,0.14442591,0.0061530892,0.0035181827,0.0017046619,0.00069423605,0.0062876244,0.004999752,0.0030515195,0.0013749867,3.3782242,0.00079184034,0.00067206962,0.0011569722,0.0032856001,0.0043368687,0.001434279,0.0016432543,0.0016947478,0.0031633081,0.0023879128
Ali,0.76687565,0.37883258,0.24262124,0.22075581,0.37015178,0.04538972,0.18687652,0.20248237,0.22270822,0.083560473,0.017930781,0.081990977,0.10767124,0.13544507,0.026905076,0.16173925,0.053161559,0.19039001,0.050903512,0.041985096,0.041646588,0.14087192,0.1107059,0.046914369,0.03587008,1.6682748,0.031352137,0.0067794345,0.028713187,0.047624709,0.027017869,0.068044402,0.18822181,0.063411098,0.031134515,0.044937015,0.019602944,0.0038973404,0.0043953533,0.045058081,0.0035133923,0.010027849,0.0035771652,0.015609396,0.10788333,0.046642275,0.025700282,0.020201909,0.010166918,0.03092529,0.0034179635,0.0032877544,0.012220418,0.0094646512,0.0080547204,0.024617517,0.0036792759,0.011304669,0.010097831,0.011056917,0.0079253764,0.010113439,0.009887654,0.0098578363,0.0047103179,0.0060336199,0.0030269599,0.04447136,0.0095351941,0.021007416,0.010974127,0.012115886,0.012281783,0.0043214178,0.0098866085,0.015069159,0.0018604273,0.012478616,0.0049756887,0.0088748001,0.011500809,0.011421059,0.0023234847,0.0092484009,0.0074676544,0.0053477686,0.0058802254,0.0081580015,0.026279119,0.0030888563,0.0072369549,0.0085694672,0.0020131654,0.0051926626,0.0032756229,0.0086195254,0.0062016623,0.0042970288,0.00078173519,0.0054539809,0.035143006,0.0036012107,0.0037987913,0.006897706,0.0037542272,0.012275056,0.0039848629,0.0025500924,0.0027920285,0.0064860364,0.0021463952,0.0013106984,0.0019061132,0.0042342325,0.0027673582,0.002591723,0.0036456879,0.005331551,0.016134052,0.074884728,0.0010190239,0.0032765542,0.0024708227,0.010894743,0.0005141243,0.0051677288,0.0027952642,0.0027922592,0.0038232535,0.0015412201,0.0025743605,0.0062400548,0.003643842,0.0033232916,0.0040286415,0.0019826776,0.0030358021,0.0045906855,0.0017808726,0.0020174656,0.0033019353,0.0019300596,0.002143432,0.00083927571,0.0038782273,0.058501312,0.024212024,0.0045815199,0.0026242486,0.0021160351,0.0084949908,0.006853627,0.0039799877,0.0029671784,0.20210302,0.0013160154,0.00044042952,0.00083992874,0.0053922977,0.0056204572,0.0073817779,0.002874545,0.0019772946,0.0019324637,0.0023771172
Ankang,13.078755,4.8954354,6.4994094,17.428549,8.3693303,0.94548789,3.5838809,167.04372,42.98897,2.0350792,0.24840497,4.310152,4.1064094,4.3688445,0.22779069,24.233729,1.1212022,2.094924,0.64392687,1.1948354,0.86639683,1.8014945,4.3500194,0.90160389,0.99894933,0.53808267,1.4958044,0.11319573,31.53393,1.8731087,0.46056658,1.5443702,2.0025277,0.68267575,1.0752663,0.58404619,0.25595091,0.095393078,0.13635511,0.59532152,0.14802368,0.06391682,0.03333073,0.54567211,1.0999404,1.0173079,0.89176642,0.25453784,1.1870612,0.92726607,0.040058124,0.04136064,0.37875789,0.44741941,0.34728466,5.3631152,0.075368138,0.23859048,1.4750247,0.37461886,0.20801142,0.47959523,0.37681777,0.26337984,0.13607276,0.17498069,0.070210141,2.972289,0.10184009,0.3661309,0.71256828,0.37593681,0.78048286,0.15915395,0.15365159,0.69699109,0.022040887,0.29147483,0.14734261,0.38400884,1.6585614,0.23895464,0.030076115,0.90424036,0.046098943,0.039726292,0.17194041,0.3522424,0.67433221,0.11564928,0.24768433,0.41689882,0.016377161,0.19123362,0.36978012,0.38527527,0.27829198,0.1253299,0.012800153,0.20435672,0.15147821,0.11145047,0.073442968,0.19503837,0.18826111,3.1294729,0.14456634,0.048715036,0.10044385,1.0172907,0.13913936,0.013392029,0.040079412,0.038007903,0.042100095,0.09450424,0.16645186,0.10251459,0.9592054,0.0092669548,0.012274235,0.059929972,0.1599928,0.89970028,0.0064715147,0.18380687,0.029581956,0.023552196,0.28449609,0.0095058249,0.09561617,0.1910015,0.087573681,0.33049476,0.35929642,0.050331496,0.8406663,0.29543794,0.21404703,0.054129651,0.29261821,0.19429096,0.052261366,0.01109123,0.23484391,0.0086104368,0.23372675,0.29941972,0.046745488,0.053470885,0.26920135,2.3608059,0.6583154,0.055367707,0.022412518,0.042950738,0.005452154,0.0079913882,0.36788943,1.5214457,0.035792249,0.30207065,0.17018008,0.012335321,0.051867736
Anqing,45.834623,30.704935,123.28511,169.99803,3.0014164,3.9705966,16.121699,15.218884,16.221845,16.149275,0.98397187,188.34355,149.5813,4.8751838,0.89813716,53.786116,2.7480678,2.4142383,4.05933,2.9427957,12.680812,11.600401,29.870908,8.995059,5.0604094,0.6251334,121.32969,0.48726788,5.2341592,86.013273,2.0494133,1.4624179,0.98251607,0.49924924,2.5951255,3.635382,1.2450036,0.46850781,1.2016206,0.73091153,3.4870983,0.29169231,0.13254614,15.904553,0.656512,1.368087,25.715381,1.5758934,4.6218655,19.554163,0.13206488,0.17305977,2.5136944,2.9896794,0.70285359,4.0200911,0.34255533,1.2837691,7.0069831,6.3112411,0.62601416,10.103543,2.4820593,1.7698886,0.7218167,1.5844675,0.35254848,6.4175072,0.61629536,0.20651801,5.6276719,9.6390837,0.64202525,0.30880307,1.9202297,0.14328572,0.088627072,2.3218685,0.34078157,1.9607522,2.8931612,0.89338932,0.11204544,2.9687964,0.11841404,0.19804801,1.6864803,0.89020925,3.5020866,3.7304543,0.68534155,0.11390944,0.068328729,17.387486,0.49106153,0.25889405,0.65138255,1.775852,0.059602874,2.8919611,0.20609529,0.50178604,0.47358707,4.1092099,0.51987695,2.818735,0.046183327,0.39475311,0.3874769,0.24748481,0.36902209,0.053915678,0.15673447,0.1970666,0.18304392,0.49838891,1.7845555,0.28533239,0.75952811,0.0098181122,0.135111,0.24885882,0.45319262,0.20252147,0.023426732,0.3460384,0.12002396,0.13803902,0.5614377,0.036201297,0,1.3197164,0.37850542,1.1606944,1.2624135,0.23737106,0.43764886,1.0555692,1.3895259,0.59104721,1.7299116,18.551397,0.2367157,0.047624791,7.7411855,0.010546251,0.22114974,0.85466414,0.79566436,0.10671025,6.2471671,0.40647472,0.12839089,0.32521637,0.024501769,1.323038,0.022652875,0.031804688,6.9400491,0.38420971,0.053298971,5.5069363,0.88935488,0.046348461,0.35849397
Anshan,127.04536,2.9766386,19.94248,4.6624898,0.7006544,137.37473,42.643359,1.7167169,1.0390873,11.05535,6.033523,3.9857704,7.0834846,4.5211885,16.965021,5.0198224,0.17038376,0.22301827,0.35309632,2.8160985,1.0458191,1.1167936,1.3432497,14.721245,193.49799,0.28004104,1.4957346,5.013882,0.31170034,1.0497406,10.221457,0.19358595,0.49191173,0.3744039,0.13358765,0.3500182,0.1077973,0,0.054696657,1.3874611,0.13809936,0.037220536,13.565446,1.1860537,0.16254539,1.0221635,1.7053864,0.144586,0.41836562,2.4417575,0.62366906,7.0250745,0.11094457,2.2234537,0.2318057,0.36062494,12.346373,1.7619076,0.13465925,0.92304058,2.0978987,1.0212391,5.2514557,0.091370956,0.39354854,0.65313111,43.361303,0.47011806,0.059677415,0.041740364,0.1257055,1.0773336,0.041425104,0.26302751,0.18067911,0.037370318,0.34832626,2.1501517,0.49267365,2.4775577,0.34859586,1.8281073,2.2146854,0.45198881,0.018915764,0.024763938,0.51014834,0.77431305,0.18084554,0.19181417,0.40622986,0.023612875,0.0084214393,0.25637828,0.0601485,0.020636328,0.060771038,0.40356404,0.42235085,0.10763961,0.038324447,0.023090745,0.76706944,0.3120379,0.15174125,0.24820441,0.015929393,0.023968054,0.16812359,0.022248701,0.14541711,2.3952329,3.3085492,0.021461207,1.7015425,0.019923239,0.048404525,0.017917881,0.24164987,0.011097434,0.012998587,0.019932113,0.016677017,0.062511522,0.12501665,0.17625334,40.240025,0.014822301,0.094107985,0.56849529,0.083569175,0.063272551,18.302562,0.031257928,0.058234574,30.413762,0.021086893,0.13781994,0.069175704,0.26440687,0.067717463,0.050911219,0.21920909,0.20770779,0.085195697,0.0045769583,0.02292657,0.13951687,0.13203787,0.0065424312,0.68418038,0.05576802,0.048552763,0.023413622,0.032198512,0.040972829,0.091046657,1.1636699,0.1231411,0.056427522,0.0054657648,0.050995939,0.12269151,0.54279472,0.29560613
Anshun,7.3076639,31.731963,6.2123901,9.9750531,16.521224,0.38277135,2.0393691,4.7854823,21.963248,1.3073925,0.1156837,2.6260463,2.9436486,1.628544,0.18990052,3.6270619,11.523234,31.586247,4.5764831,0.51490764,1.7237852,10.601808,8.4893651,0.72654597,0.38729629,0.41358424,0.95520243,0.051247781,1.108325,2.3428103,0.28256563,104.99867,1.3651838,0.42231972,8.6732856,3.5786317,3.6817686,0.038832166,0.24493958,0.33430969,0.12004171,1.0065157,0.032775524,0.40601296,0.4713466,0.27786763,0.71128843,1.628328,0.22555853,0.80546001,0.017837439,0.029642707,0.88267539,0.14703432,0.14911553,1.0277448,0.032065268,0.14062105,0.62888735,0.23962863,0.066904367,0.23982064,0.13865572,0.99705921,0.07610779,0.103483,0.029714632,2.6543263,0.83304571,3.6024476,0.89614273,0.29312263,4.0621246,0.039545509,0.46851745,0.49040002,0.011081827,0.19469552,0.041641606,0.1206292,0.23515192,0.12613334,0.020400503,0.17615906,2.8904152,0.57747036,0.11100942,0.088838653,2.0690041,0.078975814,0.11485323,0.54336,0.26684845,0.16148895,0.10421613,1.951465,0.51092203,0.085387845,0.0061683769,0.25304676,4.1913165,0.38611427,0.052411093,0.22671897,0.074442266,0.29725361,0.060985254,0.21689033,0.050128892,0.35031386,0.030282648,0.010576182,0.015609111,0.55552731,0.027923437,0.25705229,0.2411467,0.78976734,0.16289933,0.015962685,0.061146915,0.56987485,0.37843098,0.21257273,0.0029607051,0.081427861,0.025877208,0.26862626,0.098837533,0.010895291,0.097033046,0.57492397,0.033766758,0.31904448,0.2248707,0.019727601,0.25020672,0.12286522,0.045699592,0.037239409,0.14259146,0.078627689,0.028421852,0.0055841962,0.18235555,0.0075577916,1.6755069,0.11381799,0.080945659,0.96764188,0.21895986,0.13175527,0.079433216,0.35599573,0.043017425,0.052713548,0.002757161,0.0067251065,0.24191931,0.10137793,0.26611156,0.15514973,0.039272925,0.011312318,0.034143986
