,Beijing,Guangzhou,Shanghai,Wuhan,Chengdu,Shenyang,Tianjin,Xian,Chongqing,Jinan,Haerbin,Hangzhou,Nanjing,Taiyuan,Changchun,Zhengzhou,Nanning,Kunming,Foshan,Shijiazhuang,Fuzhou,Shenzhen,Changsha,Qingdao,Dalian,Wulumuqi,Hefei,Jilin,Shiyan,Nanchang,Tangshan,Guiyang,Lanzhou,Yinchuan,Liuzhou,Dongguan,Guilin,Anshan,Shantou,Huhehaote,Wenzhou,Zhanjiang,Benxi,Zhenjiang,Xining,Baotou,Changzhou,Zhongshan,Kaifeng,Suuzhou,Qiqihaer,Jinzhou,Huizhou,Weifang,Jincheng,Xiangfan,Fushun,Cangzhou,Jingzhou,Xuzhou,Chengde,Nantong,Yantai,Hengyang,Liaocheng,Taian,Dandong,Yichang,Jiangmen,Yibin,Zhuzhou,Yangzhou,Zunyi,Datong,Xiamen,Mianyang,Jiamusi,Zibo,Zhangjiakou,Dongying,Jiaozuo,Langfang,Chaoyang,Anyang,Baise,Maoming,Jining,Baoding,Zhuhai,Bengbu,Handan,Suining,Yulin,Wuhu,Nanyang,Luzhou,Changde,Zaozhuang,Yanbian,Quanzhou,Yuxi,Zhaoqing,Binnzhou,Jinhua,Xinxiang,Luoyang,Tianshui,Shaoguan,Puyang,Nanchong,Xingtai,Tieling,Fuxin,Wuzhou,Qinhuangdao,Qingyuan,Ganzhou,Qinzhou,Yuulin,Shihezi,Meizhou,Huaihua,Shaoyang,Baoji,Suihua,Changzhi,Liaoyang,Yangjiang,Pingdingshan,Mudanjiang,Anqing,Xiangtan,Panjin,Yiyang,Qianjiang,Yingkou,Enshi,Luohe,Zhoukou,Linyi,Xiaogan,Huanggang,Hengshui,Jixi,Huangshi,Yili,Panzhihua,Xuchang,Taiizhou,Hechi,Wuxi,Xianyang,Weinan,Loudi,Kelamayi,Shangrao,Shuangyashan,Liaoyuan,Ezhou,Tongchuan,Xishuangbanna,Xianning,Heze,Daqing,Dezhou
Aba,14.342629,8.9073252,8.2067544,4.9026948,119.16219,2.9908831,7.9768352,13.838355,22.010305,5.3231506,1.0464237,3.6808007,4.5797077,4.2220964,0.53628251,4.1509681,1.458031,4.4122867,2.4229813,2.5613304,2.1981072,1.412963,3.0892746,1.4897451,0.81298463,0.94777946,0.84059712,0.5400308,1.7510609,0.70865817,1.3448549,1.5551117,4.6865269,1.8060249,0.92192971,0.66958611,1.050385,0.39202365,0.53087607,1.1631255,0.26995605,0.72747208,0.070249782,0.99895866,0.12819317,0.37754231,1.1190382,0.87064082,1.1555192,1.7170046,0.28947999,0.35717568,0.6130172,0.83999409,0.45006729,0.9491845,0.51331915,0.9663081,0.94299205,0.75430051,1.010479,0.40905514,0.48356801,0.6174368,0.42531811,0.81031048,0.20029048,1.2818066,0.85812946,1.57104,0.44275911,0.627758,1.1622636,0.21298083,0.21540294,17.327202,0.10700346,0.86362617,1.3486088,0.25366205,1.0997259,1.8200723,0.25486493,1.0733368,0.29288253,0.15481908,0.57986662,1.6906875,0.91902669,0.21978396,0.87738595,3.4892485,0.22083156,0.21469769,0.70894237,1.6392119,0.46188563,0.47591724,0.057803065,0.21907024,1.1263849,0.22282457,0.48517499,0.43498299,0.39478174,0.88744316,1.1995779,0.18054646,0.29827987,2.3676326,0.24869402,0.090957756,0.13220792,0.24208458,0.17943996,0.31528376,0.21839937,0.23903788,0.33675957,0.025666196,0.27233926,0.35674741,0.3861029,1.2200785,0.21601249,0.36435155,0.49215955,0.16374945,0.36777162,0.074365809,0.10785289,0.52459136,0.11299192,0.61134849,0.16910277,0.1366307,1.0793913,0.37837561,0.2574628,0.26165618,1.1018348,0.42298636,0.26887719,0.026930845,0.15679912,0.046386341,0.68037938,0.47363474,0.14991664,0.25983515,0.35100702,3.1303554,1.1929806,0.2879363,0.028181956,0.12246068,0.014433809,0.022772425,0.25465502,0.27221609,0.079884387,0.18996125,0.2341954,0.070778864,0.57763486
Akesu,21.588715,6.0208891,8.0288435,2.6995088,6.3496471,6.4588625,11.076676,4.0379113,4.5200024,5.5027305,3.2128871,3.0986697,3.8833876,3.769386,1.4483039,2.5831203,0.84419695,1.9030406,1.6300762,2.6866229,1.8217094,1.0131092,1.5510641,1.7856581,1.3737601,186.33505,0.63200306,1.3975311,0.58855053,0.45756535,2.0316482,0.47923926,1.5434058,1.4672126,0.44200833,0.46703961,0.51522316,0.73325487,0.41401677,1.6690138,0.23790208,0.52575505,0.14778915,0.88966456,0.073460734,0.65529584,0.97312584,0.61573147,0.79870603,1.6159585,1.0475074,0.68633707,0.43537495,0.95909243,0.29062763,0.39753128,1.1150069,1.1616253,0.4285333,0.65304647,1.8124092,0.40502198,0.63683147,0.31562845,0.39589612,0.77879789,0.38932551,0.46677431,0.60032938,0.26297887,0.24090633,0.57469226,0.28532373,0.28376184,0.17289614,0.76004037,0.37562358,0.93582433,2.1539274,0.31239871,0.69675032,2.3975958,0.4843581,0.81723636,0.15406129,0.10502699,0.51604589,2.0817731,0.66328917,0.17481941,0.75032023,0.32828022,0.14143368,0.16858549,0.33149781,0.29951456,0.18461681,0.42806479,0.14990083,0.17510773,0.62177491,0.13978203,0.56851678,0.37425324,0.2795262,0.45005211,0.19649312,0.11298623,0.24587233,0.25720586,0.23762155,0.20981776,0.28448596,0.14840087,0.29002087,0.19340487,0.14377961,0.15361839,0.26326272,8.2180722,0.19969268,0.13574479,0.16851565,0.26399031,0.7289107,0.27085544,0.98282885,0.11343833,0.20206458,0.21503484,0.073017518,0.2539292,0.2169348,0.26602186,0.077382853,0.24949407,0.30597293,0.22595707,0.17109216,0.25778866,0.5806847,0.25823604,0.28987499,0.084878716,0.092132221,59.333461,0.23363865,0.28678777,0.13746214,0.1260536,0.32671243,0.96869665,0.48855019,0.12043703,9.0121254,0.091584435,0.048446498,0.054222426,0.14866033,0.10313192,0.071234497,0.10255426,0.18857371,0.22725185,0.61494778
Alaer,6.5621489,1.9226495,2.504354,0.84107355,1.9797853,1.978931,3.3779695,1.2364512,1.4113589,1.6877219,0.98843718,0.96874042,1.2073489,1.1435563,0.44448948,0.79336636,0.27158481,0.61297216,0.52138621,0.81755162,0.57529896,0.32404942,0.48733183,0.54976726,0.42162051,42.683611,0.19643084,0.42973267,0.18180204,0.14350541,0.6200348,0.15214579,0.46269511,0.43743685,0.14099052,0.14929662,0.1638739,0.22514909,0.1318963,0.50164847,0.074760487,0.16989851,0.045435776,0.27658407,0.02181518,0.19588548,0.30295003,0.19714612,0.24559403,0.50352373,0.32086308,0.20989673,0.13894404,0.29486561,0.088879455,0.12316158,0.34239002,0.35467458,0.13385129,0.20158463,0.5509545,0.12598672,0.19589876,0.099701191,0.12126775,0.23918136,0.11966772,0.14526388,0.19250776,0.082969176,0.075973875,0.17836158,0.089967824,0.085855004,0.054812192,0.23510029,0.11608056,0.28734004,0.6522037,0.095768454,0.21356474,0.73050826,0.14785618,0.25065261,0.049568748,0.033784403,0.15870265,0.6329147,0.21259932,0.054125721,0.22936262,0.10227693,0.045479374,0.052505478,0.10228371,0.094414834,0.057790757,0.13189089,0.046237248,0.055440109,0.20154802,0.044667513,0.17414139,0.11725041,0.085730215,0.13817843,0.059777543,0.035903733,0.075383587,0.079860802,0.072513628,0.064343402,0.086996033,0.047542199,0.088571499,0.061601063,0.045514842,0.049533033,0.079368215,1.8738959,0.063472074,0.042820218,0.053263813,0.080579327,0.22386124,0.082610077,0.3015329,0.036446609,0.062176439,0.066318272,0.022765866,0.079948964,0.066436937,0.083585382,0.02412669,0.076517558,0.095447116,0.06965509,0.052775954,0.07941934,0.18058762,0.080453928,0.088488186,0.026231488,0.028775758,14.81141,0.074893739,0.088270578,0.04309449,0.040386064,0.10171053,0.29552425,0.14921817,0.037920229,2.2407116,0.02871413,0.014976464,0.016650047,0.046372624,0.031430629,0.023439118,0.032059905,0.057962151,0.069620955,0.18818506
Alashan,44.930481,4.9660056,9.902415,3.7567671,7.2086537,8.8227694,21.494201,9.4762186,5.8147635,10.110942,3.3381791,3.7721528,5.320209,10.781025,1.6940206,5.2020121,0.58383159,1.1082769,1.3019929,6.3761461,1.8292996,0.81099932,1.7885755,2.7944547,2.0208179,4.1520493,0.89320975,1.6001172,1.0475272,0.54162436,3.693124,0.41149398,7.1262078,12.659739,0.36265269,0.37763469,0.45251476,1.0177099,0.35668536,5.7510568,0.25882778,0.34258834,0.18789145,1.2060941,0.31768561,2.6168147,1.2856597,0.48286727,1.5194224,2.0575839,1.0898997,1.0448424,0.36356506,1.5865941,0.6691515,0.64912375,1.4377121,2.3107049,0.56722739,1.0588412,3.4136934,0.52804451,0.98309008,0.32353672,0.78283,1.4083075,0.51634888,0.67748046,0.45648284,0.23878214,0.25560068,0.80389565,0.28545238,0.7510213,0.1624415,1.1123044,0.3343259,1.6377207,4.9922185,0.54450233,1.493368,4.9261125,0.78053577,1.6463957,0.10374429,0.074777989,0.91956371,4.7594893,0.50851243,0.26776379,1.6319553,0.41296656,0.10065455,0.22568753,0.60291199,0.28650587,0.23175912,0.72131792,0.16032779,0.1685647,0.32717237,0.11330041,1.036083,0.43476769,0.5729192,0.94403949,0.54368569,0.10269556,0.49023779,0.36565465,0.52773205,0.27103538,0.4077718,0.11377338,0.49956079,0.16724383,0.14057325,0.1028033,1.068926,0.10594898,0.17994633,0.14144489,0.16921302,0.67889868,0.74683383,0.66107475,1.3498256,0.082917198,0.39176857,0.21889899,0.097617352,0.27940764,0.31830419,0.30622517,0.10698218,0.3609445,0.41434244,0.4100706,0.29980623,0.42419258,0.84802101,0.35606056,0.60825302,0.079557945,0.12038939,0.15550697,0.13800582,0.54411591,0.15547334,0.093022094,0.42521923,2.5954817,1.2481537,0.13205384,0.11618639,0.10725292,0.043807492,0.066781799,0.20019493,0.2872221,0.028680559,0.1319705,0.35064923,0.25201195,1.1972605
Aletai,1.4809414,0.24835908,0.43269492,0.13402217,0.25475744,0.45642567,0.73642759,0.20915656,0.19714515,0.33617557,0.23805209,0.15982882,0.20936611,0.23717089,0.10604445,0.14433523,0.031316185,0.063663418,0.066128599,0.17154106,0.086146602,0.04157642,0.07089662,0.10942248,0.091574368,27.808279,0.03348821,0.10032481,0.029318038,0.022034889,0.13671299,0.018501967,0.081927604,0.092774993,0.017379295,0.019177262,0.020937211,0.049733474,0.017913343,0.11824158,0.011853232,0.019464259,0.010185738,0.048377267,0.0038183941,0.048900523,0.052151623,0.024954383,0.044996427,0.087197882,0.082259633,0.047876169,0.018222004,0.058772936,0.016732613,0.019883766,0.07788832,0.074733795,0.020318548,0.037177769,0.12858019,0.022337802,0.039922251,0.013786294,0.023931138,0.046609351,0.02644358,0.022188332,0.0239169,0.010058704,0.010775641,0.031790505,0.011525354,0.01939463,0.0078598079,0.032704695,0.027832426,0.057270321,0.15200655,0.019745103,0.03950512,0.15858637,0.034044387,0.047463063,0.0055889362,0.004029687,0.030235738,0.13739121,0.026685988,0.0096136195,0.04523556,0.013764367,0.0053838565,0.0088565166,0.017300889,0.011719842,0.0084551331,0.024826433,0.010566949,0.0080477711,0.020217489,0.0056518779,0.035778595,0.019049091,0.016055244,0.024497897,0.0098803154,0.0048202775,0.014491232,0.011223782,0.014723996,0.014948784,0.020299264,0.0058237502,0.019700074,0.0080401258,0.006403028,0.0056777903,0.01651668,0.93837532,0.0087283845,0.0057648258,0.007154361,0.013478438,0.055600159,0.016149836,0.067858716,0.0044239931,0.010967467,0.015511225,0.003714954,0.011336131,0.015013676,0.011921248,0.0037268262,0.016957765,0.013883443,0.012260398,0.009388977,0.015194084,0.029071483,0.013014898,0.018310781,0.0061524624,0.0045265991,0.48412985,0.0077605379,0.015752036,0.00703482,0.0047312424,0.017716179,0.051387811,0.026627394,0.0052708476,1.1458384,0.004525793,0.003550407,0.0038584308,0.0073721268,0.005624133,0.0021249516,0.0049408285,0.010906076,0.01740446,0.038249495
Ali,0.58628601,0.30378386,0.29168333,0.10779759,0.3134297,0.16682159,0.31180556,0.14918477,0.2071489,0.17127411,0.0763396,0.11882834,0.14089,0.11270269,0.035370561,0.088982542,0.048359118,0.12261677,0.083932708,0.079264016,0.077865564,0.051478815,0.068567815,0.055350169,0.038289665,0.90269563,0.023395276,0.034899972,0.023063715,0.019050557,0.056318022,0.025784519,0.052005627,0.042133476,0.023503454,0.023706008,0.026325493,0.019946991,0.019738333,0.043713565,0.0095304641,0.030279201,0.0039189849,0.031946504,0.0024102485,0.016222324,0.035578972,0.031761367,0.027308976,0.058607456,0.023255261,0.018117574,0.021593898,0.029740291,0.0096396289,0.015607197,0.029100919,0.033996836,0.018049951,0.022137379,0.047239963,0.014295936,0.019187911,0.014769075,0.012468582,0.024841983,0.010544661,0.019479559,0.031614335,0.014076145,0.010959105,0.020202611,0.01444532,0.0077436719,0.0077585239,0.034295586,0.0087328928,0.029071667,0.056686584,0.0093334016,0.023564347,0.067939386,0.012700433,0.026949533,0.0090525099,0.0057880139,0.01688406,0.059147917,0.034521422,0.0061812824,0.023668931,0.015525043,0.0078634945,0.0063127772,0.012360931,0.01564169,0.008096213,0.01418529,0.00380366,0.0077517615,0.041766443,0.0072190046,0.017078518,0.014596258,0.009329793,0.015925985,0.0073103321,0.0054645406,0.0079737677,0.011600381,0.0072610921,0.0053442652,0.0072822196,0.0079451285,0.007940025,0.0096508716,0.0065999478,0.0088530749,0.0078188567,0.029771021,0.0093955947,0.0065321541,0.008138509,0.0097960667,0.016698354,0.0086250855,0.026133345,0.0061300558,0.0071983759,0.0052686583,0.0028395642,0.011550441,0.0057720312,0.012013476,0.0031963034,0.0067832293,0.013453602,0.0080738569,0.0060434706,0.0083807117,0.022918538,0.010141747,0.0086676769,0.0020442057,0.0037333695,0.096476345,0.015023906,0.010092487,0.0053267353,0.0070948564,0.011776165,0.034656784,0.017085098,0.0055965145,0.033725195,0.0037006119,0.0011446435,0.0013780059,0.0059530524,0.0035859922,0.0053802778,0.0042511732,0.0062598592,0.0052310172,0.018732133
Ankang,10.010245,3.9299322,7.8224092,8.5198436,7.094542,3.4787762,5.9866306,123.20952,40.02943,4.1759158,1.058739,6.2534884,5.3791643,3.6390508,0.29979302,13.34709,1.0210401,1.3506778,1.0628792,2.2582168,1.6216797,0.65902362,2.6972232,1.0649308,1.0675845,0.29147439,1.1174187,0.58336658,25.359235,0.75007506,0.9612028,0.58586448,0.55390859,0.45410458,0.81260761,0.30844949,0.34411199,0.48877174,0.61300608,0.5782043,0.40202035,0.19319921,0.036557961,1.1180201,0.024600683,0.35423253,1.2359379,0.40062106,3.1922166,1.7592222,0.27284936,0.22817083,0.67002398,1.4075237,0.41607542,3.403875,0.59676801,0.71838912,2.6395201,0.75086668,1.2413444,0.67868096,0.73208353,0.39502824,0.36061068,0.72127078,0.24487283,1.3034305,0.33803065,0.24560758,0.71240737,0.62755664,0.91899655,0.28553289,0.12071038,1.5880213,0.10357439,0.67980209,1.6804698,0.404316,3.4018391,1.4229729,0.16457803,2.6378215,0.055944192,0.043042221,0.49423769,2.5566975,0.88694909,0.23169895,0.81094763,0.75613551,0.064039025,0.23273316,1.3969682,0.69993042,0.3637192,0.41420861,0.062350476,0.29077323,0.18022526,0.22365825,0.33055221,0.41317439,0.46839211,4.06476,0.26550331,0.10449523,0.28718208,1.8214361,0.47122647,0.054665184,0.1533108,0.071398527,0.12093874,0.35231392,0.30167633,0.17041349,0.46537252,0.003688206,0.11329442,0.1196101,0.52757593,0.80988416,0.21042067,0.30716973,0.27686826,0.051762926,0.53624559,0.032531397,0.10558579,0.35394275,0.13886834,1.1960397,0.28537798,0.17238847,3.7295813,0.52019405,0.72718434,0.22510959,2.0332761,1.0220516,0.21157482,0.027044414,0.22632115,0.014215368,0.14518876,0.66029914,0.094995032,0.17947968,0.37358898,11.95098,2.8291328,0.10454342,0.0037441247,0.12090911,0.014185451,0.013125451,0.40658447,0.97176983,0.026115968,0.44724796,0.53936599,0.033427244,0.40918134
Anqing,27.572595,19.372028,116.61458,65.311018,1.9995373,11.481407,21.166755,8.8221296,11.871315,26.043851,3.2959771,214.75926,153.98967,3.1911407,0.92897031,23.28146,1.9668837,1.2233327,5.2656625,4.3711151,18.654329,3.3349478,14.556376,8.3503436,4.250725,0.26613616,71.233442,1.9735741,3.3084859,27.068429,3.3621107,0.43601882,0.21359422,0.26100707,1.5413502,1.508933,1.3155603,1.8866071,4.2456133,0.55792906,7.4446857,0.69288423,0.11426301,25.610578,0.011539364,0.3744333,28.009991,1.949284,9.7690749,29.156357,0.70695863,0.7503002,3.4948465,7.3922972,0.66180732,2.0052404,2.1316403,3.0384714,9.8545327,9.9419335,2.9365333,11.236704,3.7900481,2.0862717,1.5035138,5.1334258,0.96647205,2.2119198,1.6077193,0.10888519,4.4222897,12.646167,0.59414557,0.43547309,1.1855809,0.25657292,0.32731323,4.2559491,3.0545347,1.6226081,4.6632874,4.1809217,0.48184884,6.8064753,0.11294138,0.16863022,3.8098562,5.078228,3.6211205,5.8742436,1.7634936,0.1623757,0.20998172,16.6296,1.4580485,0.36964928,0.66911313,4.6129022,0.22817685,3.2339792,0.1927136,0.79139829,1.6752415,6.8413691,1.0166234,2.8774043,0.066661334,0.66536078,0.87071823,0.3482517,0.98227127,0.17296324,0.47128119,0.29096332,0.41332495,1.4603871,2.5420618,0.37277787,0.28961861,0.0030710409,0.98011813,0.39036637,1.17451,0.14327866,0.59863682,0.45462093,0.88283372,0.23843637,0.83172698,0.097366488,0,1.9220685,0.47167426,3.3012696,0.78801785,0.63896162,1.5258914,1.4607806,3.7100956,1.9318418,9.4470082,76.696363,0.75320137,0.091265161,5.8630961,0.013683696,0.1079638,1.481238,1.2709074,0.28150668,6.8135596,1.6171482,0.43365003,0.48258748,0.0032168983,2.9271035,0.046320963,0.041054852,6.0278204,0.19285273,0.030562409,6.4085274,2.2153118,0.098708768,2.2227239
Anshan,48.158057,1.1837645,11.888387,1.1291988,0.29424591,250.38886,35.275009,0.62727811,0.47933539,11.237655,12.738615,2.864768,4.5969202,1.8664812,11.060327,1.3696531,0.076873697,0.071234489,0.28878595,2.6367184,0.96964433,0.20242695,0.41262071,8.6113402,102.38091,0.07514915,0.55349288,12.799394,0.12410874,0.20828302,10.558982,0.036382346,0.067407768,0.12338162,0.050017764,0.091564883,0.071787527,0,0.12182043,0.66747417,0.18564402,0.055760533,7.3671735,1.2037445,0.0018011249,0.17625246,1.1705375,0.11273397,0.557102,2.2948606,2.104307,19.199879,0.09721486,3.4637454,0.13758667,0.11339213,48.429773,2.6259735,0.119376,0.9164717,6.1980909,0.71590412,5.0526668,0.067896787,0.51647143,1.3332025,74.867086,0.10209355,0.09811899,0.013867368,0.062242657,0.89076605,0.024161379,0.23360663,0.070317933,0.042177218,0.81084545,2.4842372,2.7835553,1.2918074,0.354336,5.393748,6.0040336,0.65321031,0.011372397,0.013296428,0.72646565,2.7839449,0.11769763,0.19029955,0.6589813,0.021211211,0.016316527,0.15460036,0.11255464,0.018570629,0.03933733,0.66054612,1.0190282,0.075870346,0.022589404,0.022957882,1.7100652,0.32746796,0.18696671,0.15969793,0.014493177,0.025487349,0.23807872,0.019734823,0.24393992,4.8431547,6.2630187,0.019969855,2.4194459,0.036782093,0.043450588,0.014756235,0.058067814,0.0021880184,0.059441869,0.019706073,0.027241738,0.027869329,2.0136034,0.14573507,186.57373,0.016138552,0.087863465,0.96375504,0.045704619,0.058077008,14.380917,0.056035809,0.022912567,51.595434,0.046349219,0.1201772,0.11641543,0.54467355,0.23310233,0.13267178,0.43954805,0.25088731,0.040673131,0.0037432318,0.0070560142,0.15243392,0.13286267,0.010879714,0.47036608,0.13985707,0.10335442,0.021905895,0.0026646908,0.057141907,0.11733924,0.94668348,0.067432255,0.017855966,0.0019757146,0.037390047,0.19262516,0.72867052,1.1551853
Anshun,3.3205894,15.122055,4.4387867,2.8945915,8.31351,0.83605729,2.0225448,2.0953641,12.140201,1.5925706,0.29270646,2.2617871,2.2890229,0.80512151,0.14836792,1.1858409,6.2290419,12.088733,4.4839985,0.57768816,1.91542,2.3021694,3.1246937,0.50948429,0.2457627,0.13299339,0.42360657,0.15679257,0.52919818,0.55687636,0.35018265,23.644175,0.22415944,0.16675796,3.8907576,1.1219871,2.9384524,0.11811872,0.65366985,0.19275521,0.19359816,1.8056819,0.021344158,0.49384604,0.0062577198,0.057444619,0.58525461,1.521405,0.36012941,0.90717139,0.07212642,0.097073463,0.92696968,0.27462389,0.10605154,0.38720471,0.1507207,0.25142025,0.66804748,0.28512352,0.2370756,0.2014668,0.15993164,0.88769122,0.11974795,0.25325077,0.061537549,0.69106017,1.6414818,1.434683,0.5319002,0.29048812,2.8393965,0.042127007,0.21849833,0.6632944,0.030914498,0.26955987,0.28193938,0.075405573,0.28627413,0.44587073,0.066267557,0.30505209,2.0821991,0.3713582,0.18942022,0.38280015,1.6161824,0.09393945,0.22321766,0.58506738,0.61935943,0.11666068,0.23372792,2.1045764,0.39643315,0.16753855,0.017837701,0.21374186,2.9602035,0.45994682,0.14003922,0.28511154,0.10995798,0.22919865,0.066485991,0.27609368,0.085087725,0.37233854,0.060885092,0.025628587,0.035457614,0.61950192,0.047631445,0.56893886,0.25946462,0.77931344,0.046919328,0.0037713691,0.33503253,0.67517762,0.740787,0.11359913,0.057149261,0.080816631,0.14377624,0.3504584,0.11059581,0.0221351,0.063612744,0.63246653,0.031783664,0.68541651,0.10602739,0.040113437,0.65890845,0.12843509,0.092165263,0.091937645,0.58817152,0.245533,0.068309047,0.0080832644,0.10432146,0.0074070579,0.61781052,0.14899388,0.097666731,1.9280008,0.18038632,0.39593792,0.2026556,0.39898314,0.0042659567,0.088087661,0.0042586611,0.0065574729,0.15870341,0.038436796,0.11526,0.13638233,0.07389057,0.018198069,0.15990292
