,Beijing,Guangzhou,Shanghai,Wuhan,Chengdu,Shenyang,Tianjin,Xian,Chongqing,Jinan,Haerbin,Hangzhou,Nanjing,Taiyuan,Changchun,Zhengzhou,Nanning,Kunming,Foshan,Shijiazhuang,Fuzhou,Shenzhen,Changsha,Qingdao,Dalian,Wulumuqi,Hefei,Jilin,Shiyan,Nanchang,Tangshan,Guiyang,Lanzhou,Yinchuan,Liuzhou,Dongguan,Guilin,Anshan,Shantou,Huhehaote,Wenzhou,Zhanjiang,Benxi,Zhenjiang,Xining,Baotou,Changzhou,Zhongshan,Kaifeng,Suuzhou,Qiqihaer,Jinzhou,Huizhou,Weifang,Jincheng,Xiangfan,Fushun,Cangzhou,Jingzhou,Xuzhou,Chengde,Nantong,Yantai,Hengyang,Liaocheng,Taian,Dandong,Yichang,Jiangmen,Yibin,Zhuzhou,Yangzhou,Zunyi,Datong,Xiamen,Mianyang,Jiamusi,Zibo,Zhangjiakou,Dongying,Jiaozuo,Langfang,Chaoyang,Anyang,Baise,Maoming,Jining,Baoding,Zhuhai,Bengbu,Handan,Suining,Yulin,Wuhu,Nanyang,Luzhou,Changde,Zaozhuang,Yanbian,Quanzhou,Yuxi,Zhaoqing,Binnzhou,Jinhua,Xinxiang,Luoyang,Tianshui,Shaoguan,Puyang,Nanchong,Xingtai,Tieling,Fuxin,Wuzhou,Qinhuangdao,Qingyuan,Ganzhou,Qinzhou,Yuulin,Shihezi,Meizhou,Huaihua,Shaoyang,Baoji,Suihua,Changzhi,Liaoyang,Yangjiang,Pingdingshan,Mudanjiang,Anqing,Xiangtan,Panjin,Yiyang,Qianjiang,Yingkou,Enshi,Luohe,Zhoukou,Linyi,Xiaogan,Huanggang,Hengshui,Jixi,Huangshi,Yili,Panzhihua,Xuchang,Taiizhou,Hechi,Wuxi,Xianyang,Weinan,Loudi,Kelamayi,Shangrao,Shuangyashan,Liaoyuan,Ezhou,Tongchuan,Xishuangbanna,Xianning,Heze,Daqing,Dezhou
Aba,15.384385,8.3601767,8.7934932,4.7093457,129.71525,3.7588389,8.4243834,14.121381,21.797168,5.5278355,1.305967,4.0160222,5.1080186,4.0654892,0.62115627,3.9682181,1.1017335,4.1656797,2.3487899,2.5391652,2.2545933,1.3963133,2.8933874,1.7453187,1.1615705,0.91009687,0.93349957,0.75737753,1.8996108,0.65922725,1.4608456,1.3560252,4.2355566,1.5432915,0.81628281,0.60232211,0.94860766,0.49409994,0.47936924,1.1961888,0.28569146,0.57613764,0.11225422,1.0684001,0.14257635,0.34315516,1.2597634,0.87676266,1.177591,1.9007224,0.34596822,0.41591613,0.54349125,0.89779902,0.41270137,0.88135456,0.64125434,1.0152827,0.88811001,0.73070303,1.1628057,0.41365163,0.51673237,0.55810869,0.43817598,0.81927874,0.28339213,1.4532921,0.82526815,1.5994159,0.39183381,0.70908217,1.1709326,0.23152205,0.22248544,18.186011,0.13245024,0.88370707,1.4496715,0.27259626,1.0477589,1.9176416,0.28857853,0.99500488,0.25410318,0.13300171,0.59061442,1.7051839,0.97494757,0.22938047,0.79982263,4.0329165,0.17865596,0.23890088,0.66932579,1.6791425,0.48964647,0.47975545,0.07351755,0.20625481,1.0967216,0.19621742,0.50817112,0.46389902,0.38312468,0.84178774,1.1574219,0.17576334,0.29840794,2.392622,0.23696603,0.10744367,0.19142592,0.19086634,0.1979943,0.29417238,0.20619451,0.20504092,0.34813108,0.024759638,0.24832967,0.31477495,0.36887637,1.3901224,0.31558251,0.37660956,0.64417605,0.14319253,0.35409345,0.093607708,0.11684314,0.50731533,0.1407212,0.61082821,0.2036105,0.18547368,1.0873607,0.40235487,0.26172034,0.26348955,1.0510446,0.40435614,0.26117001,0.032095085,0.16144046,0.046638504,0.66336367,0.43508139,0.15117416,0.22321827,0.35438823,3.1112925,1.2024135,0.24952579,0.025439969,0.11764813,0.017486406,0.029024476,0.22976184,0.31203332,0.10028152,0.19761123,0.22641781,0.085008169,0.55699245
Akesu,34.663914,8.4589837,12.878163,3.8811876,10.346055,12.151003,17.510866,6.1677283,6.6999068,8.5532392,6.0023246,5.0607779,6.483771,5.4325933,2.5110887,3.6961204,0.95466145,2.6890596,2.3653009,3.9864162,2.7969248,1.4986716,2.1743387,3.1314831,2.9381804,267.81283,1.0505721,2.9340074,0.95564201,0.63708023,3.3034505,0.62541148,2.0876759,1.876477,0.58572286,0.62887971,0.69638842,1.3834485,0.55956014,2.5690926,0.37684196,0.62318031,0.3535119,1.424309,0.12229391,0.89146128,1.6398774,0.92819911,1.2183532,2.6777816,1.8739912,1.1963095,0.57778759,1.5344046,0.39888767,0.55247058,2.0850779,1.8268655,0.6040643,0.94689404,3.1219366,0.61310238,1.0186417,0.42701428,0.61049082,1.178613,0.82461064,0.79210475,0.86418053,0.4007232,0.31908962,0.97166309,0.43023578,0.46172584,0.26730963,1.1940628,0.69597106,1.4333274,3.4659207,0.50250979,0.99360237,3.7813717,0.82092712,1.133945,0.2000455,0.13504037,0.78673851,3.14281,1.053274,0.27310193,1.0237554,0.56794247,0.17124891,0.28079909,0.46844456,0.45921036,0.29294016,0.64587161,0.28539382,0.24678045,0.90612752,0.18422668,0.891297,0.59745953,0.40602892,0.63897786,0.28374971,0.16463298,0.36817491,0.38905422,0.33889281,0.37100628,0.61658784,0.17510982,0.47899957,0.27009265,0.20317497,0.19721702,0.40735871,11.866257,0.27254205,0.17926004,0.2409768,0.45021246,1.5940911,0.41905515,1.9256782,0.14847387,0.29119563,0.40517475,0.11840197,0.36755601,0.40443262,0.39783952,0.13946734,0.50699162,0.46134697,0.35964663,0.26032135,0.38856209,0.82912431,0.36950176,0.4214338,0.15141853,0.14198133,89.296405,0.34094431,0.39431439,0.20748768,0.16207239,0.49377088,1.4411745,0.7370759,0.15620848,12.176675,0.13169258,0.087856015,0.10345116,0.20075475,0.1769549,0.13385218,0.15968316,0.27288188,0.40856359,0.88754892
Alaer,13.059987,3.3480347,4.9788354,1.4988403,3.9983365,4.6143954,6.6191071,2.3408942,2.5930388,3.2515681,2.2887679,1.9610192,2.4984956,2.0428257,0.95519985,1.4070734,0.38068909,1.0735991,0.9377118,1.5035993,1.0947875,0.59413974,0.84677135,1.1949888,1.117675,76.039717,0.40471566,1.1182148,0.3658893,0.24765762,1.2496218,0.24610946,0.77576562,0.69345512,0.23158146,0.24917072,0.27454949,0.52650969,0.22095548,0.95710979,0.1467831,0.24961399,0.13470476,0.54882927,0.045014018,0.33030695,0.63276308,0.36835377,0.46434905,1.0341798,0.71147651,0.45346739,0.22854918,0.58471387,0.15120233,0.21215737,0.79358585,0.69138303,0.23386606,0.36228962,1.1763223,0.23637883,0.38838675,0.16719127,0.23178506,0.44865985,0.31415376,0.3055434,0.34347973,0.15670485,0.12473315,0.37378131,0.16815204,0.17315513,0.10503705,0.457802,0.26658213,0.5454878,1.3007608,0.19094104,0.37748611,1.4279888,0.31060651,0.4310804,0.07978021,0.053842624,0.29989145,1.1843141,0.41844836,0.10480405,0.3878972,0.21931799,0.068256058,0.1083953,0.17915494,0.17942234,0.1136597,0.24665909,0.1091091,0.096841952,0.36406568,0.072969383,0.33839099,0.23200659,0.15435242,0.24316695,0.10699855,0.064844358,0.13991471,0.14972751,0.12818631,0.14101786,0.23370317,0.069536237,0.18131932,0.10663148,0.079720824,0.078821748,0.15222019,3.3537499,0.10737352,0.070091033,0.094408467,0.17032891,0.60679826,0.15842374,0.73226198,0.059129166,0.11106146,0.15488046,0.04575681,0.14343904,0.15351527,0.15493927,0.053896209,0.1927209,0.17838107,0.13741754,0.099530614,0.14837634,0.31959742,0.14268774,0.15945917,0.0580008,0.054965235,27.628945,0.13546533,0.15043156,0.080625346,0.064363248,0.19052678,0.54494872,0.27903544,0.060962739,3.7525791,0.051177334,0.033662796,0.039373264,0.07762028,0.066842223,0.054588841,0.061874179,0.1039632,0.15513938,0.33665149
Alashan,63.26079,6.1164146,13.924901,4.7353323,10.297167,14.550465,29.796039,12.689659,7.5565341,13.778594,5.4670558,5.4008586,7.7868779,13.620763,2.5748254,6.5257991,0.5789165,1.3730546,1.6561378,8.294447,2.462254,1.0516366,2.1982309,4.2963769,3.7890973,5.2320064,1.3016579,2.9448917,1.4912579,0.66112581,5.2657983,0.4708502,8.4517584,14.196589,0.42135421,0.4457913,0.53630366,1.6832778,0.42265237,7.7613283,0.3594978,0.35600643,0.39399009,1.6927652,0.4636585,3.121526,1.8992932,0.6381025,2.0321576,2.9890705,1.7093161,1.5965814,0.42299906,2.2255505,0.80521292,0.79091906,2.3568413,3.186752,0.70102319,1.3460336,5.156176,0.70072969,1.3786766,0.38376834,1.0584274,1.8687412,0.95884247,1.0079391,0.5761014,0.31900855,0.29686451,1.1916055,0.37738876,1.0715002,0.22017725,1.5319831,0.54305361,2.1990816,7.0418917,0.7679462,1.8668526,6.8103011,1.1597333,2.0028165,0.11811274,0.084293575,1.2290485,6.299431,0.70810456,0.36675311,1.9522007,0.62637528,0.10685501,0.32952372,0.74699534,0.38511403,0.32241661,0.95424722,0.26759231,0.20826377,0.41803094,0.1309198,1.4240631,0.60855536,0.72967321,1.1751181,0.68839352,0.13117723,0.64362265,0.48490298,0.65991296,0.42014545,0.77488626,0.11772069,0.72349451,0.20480273,0.17416919,0.11571746,1.4500909,0.13412398,0.2153182,0.16377973,0.21215317,1.0150267,1.43177,0.89702208,2.3184044,0.095163962,0.49499716,0.36157694,0.13878022,0.35459408,0.52016772,0.40150854,0.16903098,0.64298885,0.5477129,0.57224451,0.39992984,0.56057936,1.061522,0.44666353,0.77534912,0.12442009,0.16265476,0.20517195,0.17656052,0.65588198,0.20576485,0.10486776,0.56337593,3.3851716,1.6508948,0.15016436,0.13763372,0.13521059,0.069645282,0.11169833,0.23701443,0.43199796,0.047240185,0.18016532,0.44487497,0.39718638,1.5149911
Aletai,2.3462557,0.34430846,0.68488767,0.19011867,0.40958754,0.84734028,1.148707,0.31523371,0.28832884,0.51558053,0.43886011,0.25757844,0.34495611,0.33727584,0.18143154,0.20377717,0.034934899,0.088753414,0.094685505,0.2511409,0.13050951,0.06069269,0.098057385,0.18935493,0.19328268,39.434299,0.054929854,0.20784909,0.046971649,0.030270815,0.21932746,0.02382012,0.10932644,0.11705619,0.022721005,0.025480703,0.027918869,0.092595696,0.023887181,0.17958777,0.018524959,0.022761518,0.024045523,0.076424473,0.006272231,0.065630007,0.08672819,0.037122198,0.067724557,0.14258246,0.14521806,0.08234324,0.023861607,0.092776723,0.022658987,0.027264358,0.14372996,0.11595772,0.028258032,0.053188587,0.21852389,0.033367284,0.063010534,0.018401561,0.036411353,0.06959604,0.05527046,0.037152076,0.033971115,0.015122882,0.014080737,0.053037075,0.017146546,0.03113839,0.011990682,0.050699851,0.05088609,0.086550271,0.24137312,0.03133788,0.055589311,0.24681987,0.056935929,0.064978231,0.0071596855,0.0051120318,0.045483514,0.20466185,0.041811393,0.014818925,0.060895539,0.023497196,0.0064312387,0.014556514,0.024121407,0.0177292,0.013237593,0.036957699,0.019852918,0.011191412,0.029069619,0.0073492472,0.05534674,0.030005446,0.02300975,0.034318477,0.014076179,0.0069307691,0.021410255,0.016751409,0.020718125,0.026083613,0.043416042,0.0067790494,0.032102442,0.011077333,0.0089271212,0.0071915537,0.025217673,1.3368677,0.011753614,0.0075104383,0.010093968,0.022682659,0.1199926,0.024650061,0.13120596,0.005712675,0.015594478,0.028840552,0.0059438515,0.01618978,0.02762198,0.017590972,0.006628225,0.034005795,0.020654863,0.019255443,0.014095409,0.022596513,0.040958156,0.018374706,0.026264906,0.010830507,0.0068829212,0.71897751,0.011174067,0.021369399,0.01047707,0.0060013739,0.026421058,0.075438754,0.039640099,0.0067447086,1.5275339,0.0064209694,0.0063533845,0.0072643181,0.0098225487,0.0095229306,0.003940574,0.0075908219,0.015571755,0.030876911,0.054469345
Ali,1.1561277,0.52408976,0.57451106,0.19032974,0.62713815,0.38536866,0.6053735,0.27982823,0.37707809,0.32693001,0.17512343,0.23831246,0.28884982,0.19946808,0.075304562,0.15636079,0.067168821,0.21278963,0.14955143,0.14443368,0.14680441,0.093507214,0.11804412,0.11919546,0.10055664,1.5933075,0.04775566,0.089968439,0.045988705,0.032574103,0.11245778,0.041327727,0.086395498,0.066181457,0.038252081,0.039197673,0.043702213,0.046211949,0.032761513,0.082634741,0.018539293,0.044078035,0.011510419,0.062803586,0.0049274905,0.027103566,0.073621984,0.058791426,0.05115719,0.11925501,0.051086792,0.038779093,0.035190809,0.058430105,0.016247997,0.026637626,0.066821993,0.065662928,0.031247118,0.039418677,0.099930139,0.026572981,0.037689659,0.02453903,0.023612226,0.046169795,0.027424648,0.040594243,0.055886241,0.026340634,0.017827913,0.041945593,0.026750574,0.01547345,0.014730199,0.066163612,0.019869359,0.054679634,0.11200326,0.018437151,0.041265924,0.13157001,0.02643271,0.045921318,0.014436547,0.0091398249,0.031610026,0.10965439,0.067319668,0.011858411,0.039660453,0.032983386,0.011693606,0.012911374,0.021451573,0.029451066,0.015776277,0.026285025,0.0088922648,0.013415165,0.074750825,0.011684821,0.032880077,0.028616477,0.01664328,0.027768212,0.012965295,0.0097786531,0.014663197,0.021548114,0.012717748,0.011604005,0.019381027,0.011514706,0.016104803,0.016552717,0.011453747,0.013958809,0.014857213,0.052790383,0.015747855,0.010594471,0.014292395,0.02051549,0.044840979,0.016389163,0.062872593,0.0098543826,0.012739543,0.012190131,0.0056545121,0.020532255,0.013213103,0.022063509,0.0070740244,0.016925577,0.024911733,0.01578138,0.011292336,0.015513035,0.040184971,0.017820695,0.015475826,0.00447799,0.0070654923,0.17829831,0.026924938,0.017041072,0.0098738167,0.011203612,0.021854438,0.06331495,0.031652862,0.0089147578,0.05595997,0.0065348351,0.0025489523,0.0032283553,0.0098726313,0.0075553106,0.012414142,0.0081289863,0.011124442,0.011548149,0.0332016
Ankang,5.8003903,1.9923601,4.527528,4.4204707,4.1715191,2.3615588,3.4151077,67.91213,21.412151,2.3422719,0.71371083,3.6854739,3.2409683,1.8929882,0.18755985,6.8919176,0.41671015,0.68876359,0.55658134,1.2091549,0.89841373,0.35181006,1.3644842,0.67382217,0.82366341,0.15117684,0.67024908,0.44191825,14.854179,0.37690431,0.56379746,0.2759193,0.27038824,0.20959255,0.38862384,0.14986756,0.16784389,0.33274977,0.29898269,0.32115834,0.22969486,0.082658053,0.031546083,0.64586009,0.014779962,0.17387161,0.75145513,0.21792331,1.7568296,1.0519339,0.17613466,0.14352042,0.32085042,0.81245439,0.20608383,1.7071377,0.40269421,0.40756755,1.3426977,0.39287634,0.77140532,0.37071374,0.42250519,0.19287094,0.20063341,0.3938407,0.1870918,0.79800796,0.17558639,0.13503303,0.34048796,0.38285474,0.50005099,0.16760228,0.067347101,0.90024952,0.069248765,0.37572217,0.97573252,0.23465646,1.7508881,0.80985994,0.10065888,1.3207966,0.026215421,0.019975201,0.27190852,1.3927856,0.50796132,0.13059428,0.39931726,0.47200577,0.027984635,0.13989273,0.71234439,0.387228,0.20823879,0.22550138,0.04283245,0.14787076,0.094783099,0.10637912,0.1869917,0.23805361,0.24548653,2.0825442,0.13836524,0.054969458,0.15516792,0.99423452,0.24251022,0.034879373,0.11983896,0.030402617,0.072053397,0.17753216,0.15382238,0.078954412,0.25982341,0.0019217842,0.055801438,0.057000577,0.27224484,0.49834766,0.16604817,0.17140652,0.19574708,0.024452732,0.27885506,0.022118221,0.061776065,0.18486996,0.093429979,0.64545698,0.18559731,0.12639673,2.0294219,0.29873898,0.39925706,0.12243844,1.0476303,0.52772805,0.110992,0.017408946,0.12586038,0.0077200489,0.076461818,0.32763225,0.051732453,0.083281349,0.20374022,6.4159923,1.5401457,0.04893804,0.0018255702,0.062740813,0.009282363,0.0090357799,0.19815294,0.60168433,0.017707845,0.25125784,0.28165202,0.021685708,0.21310716
Anqing,17.397184,10.6934,73.485001,36.903898,1.2802457,8.485682,13.149696,5.2951065,6.9156289,15.908468,2.419089,137.81026,101.00733,1.8074698,0.63279939,13.092461,0.87459077,0.67951078,3.0020777,2.5490614,11.253579,1.9381191,8.0201534,5.7537206,3.5715016,0.15033051,46.526768,1.6277072,2.1112926,14.813025,2.1481687,0.2237149,0.11357918,0.13122715,0.80298059,0.79830551,0.69907703,1.3983587,2.2552231,0.33754691,4.634531,0.32285665,0.10736938,16.109245,0.0075493112,0.20022497,18.544266,1.154372,5.8561331,18.981727,0.49690243,0.51386794,1.822382,4.647396,0.35699281,1.0953845,1.5660083,1.8780326,5.4600438,5.665278,1.9876457,6.6824504,2.3820243,1.1094306,0.91116835,3.0531265,0.80417826,1.4752231,0.90944391,0.065209185,2.3026563,8.4018106,0.35214571,0.27844258,0.7202602,0.15838381,0.23828879,2.5615592,1.930885,1.0257017,2.6133655,2.5905242,0.32088202,3.7116818,0.057653641,0.0852305,2.2825253,3.0125423,2.2595221,3.6061501,0.94571715,0.11038952,0.09995248,10.882773,0.80980457,0.22275374,0.41725178,2.7356063,0.17066836,1.7907884,0.11038531,0.41001207,1.0320814,4.2917755,0.58039983,1.6055241,0.037842994,0.38105238,0.51241739,0.20700548,0.55059196,0.12015872,0.40131516,0.1349867,0.26827523,0.80166879,1.4118953,0.18813241,0.17610884,0.0017426911,0.5257383,0.20266179,0.66008628,0.096022377,0.51430865,0.27645828,0.67951415,0.12267643,0.47107418,0.072077841,0,1.0934517,0.34544303,1.9402658,0.55806156,0.51008099,0.90425194,0.91372605,2.2185298,1.1443387,5.3003863,43.127698,0.4303949,0.063967027,3.5511281,0.008091945,0.061926654,0.80040392,0.75381964,0.14229064,4.0456692,0.9453348,0.25707051,0.24605299,0.0017082286,1.6542236,0.033004099,0.030772706,3.1993547,0.13001119,0.022564454,3.9216361,1.2598604,0.069721304,1.2607734
Anshan,23.056323,0.49548407,5.6806464,0.48404245,0.14289238,140.30324,16.624507,0.28554114,0.21183336,5.2064526,7.0884223,1.394014,2.2866479,0.80223428,5.7125058,0.58435864,0.025949157,0.030027281,0.12487346,1.1664124,0.44355806,0.089211808,0.172478,4.4984971,65.174648,0.032201607,0.27414113,8.0027695,0.060038504,0.08649343,5.113024,0.014169019,0.027201168,0.047075944,0.019779294,0.036731107,0.028952074,0,0.049090868,0.30635569,0.087574301,0.019725389,5.2461229,0.57410047,0.0008940315,0.071481687,0.58744914,0.050615116,0.25320447,1.1328186,1.1214444,9.9729746,0.038437634,1.6510493,0.056306527,0.046998782,26.975525,1.2303772,0.050184493,0.39615241,3.1798923,0.3227972,2.4075803,0.027396745,0.23734559,0.60129257,47.198565,0.051627227,0.042094109,0.0062979021,0.024587936,0.44876992,0.010864291,0.1132083,0.032402007,0.019743405,0.44764046,1.1340504,1.333991,0.61921402,0.15067975,2.5341107,3.0321128,0.27021328,0.0044059967,0.0051019952,0.33013754,1.25247,0.055631924,0.08858202,0.26814578,0.010934888,0.0058954332,0.076730996,0.047421058,0.0084891858,0.018602985,0.29710973,0.57782674,0.031858412,0.0098172289,0.009026426,0.79894117,0.15588131,0.080955955,0.067593625,0.0062441188,0.011087907,0.10626286,0.0088977584,0.10371735,2.5511806,4.0396218,0.0070310424,1.1902668,0.01531702,0.018305469,0.0056519528,0.026776635,0.00094182902,0.024191372,0.007763719,0.011613685,0.014164485,1.3114928,0.067157751,108.87038,0.0063038023,0.037747934,0.54093308,0.022086627,0.025062265,7.9870516,0.024981263,0.012306626,31.223494,0.020840124,0.057007079,0.052804822,0.24472305,0.099187566,0.056588529,0.19051077,0.13333035,0.018689427,0.0016788314,0.0030714841,0.062490836,0.059745779,0.0041738158,0.21176378,0.062000307,0.046458393,0.008477557,0.0010734155,0.024498796,0.063391845,0.53794627,0.02715612,0.009129181,0.0011064364,0.017351266,0.083098361,0.39023881,0.49701357
Anshun,0.81756008,3.2587232,1.0920784,0.63815361,2.0774428,0.24127415,0.49027417,0.49085286,2.7593615,0.37960896,0.083880418,0.56658005,0.58621949,0.17794635,0.039457582,0.26017002,1.0796245,2.6186693,0.99798195,0.13143513,0.45103078,0.52240548,0.67163374,0.13702889,0.080621996,0.029310454,0.10799492,0.050494293,0.13173892,0.11888113,0.087316705,4.729454,0.046482032,0.032695272,0.79030417,0.23172193,0.60876402,0.034185739,0.13546651,0.045488064,0.047018274,0.32812633,0.0078304713,0.12126689,0.001597476,0.011980724,0.15127082,0.35182829,0.084235592,0.23058615,0.01979174,0.025951276,0.18867732,0.067374712,0.022318952,0.082502282,0.043235606,0.060624909,0.14437717,0.063392879,0.062627088,0.046781027,0.03923387,0.18413458,0.028313581,0.058767883,0.019991504,0.17980139,0.3623658,0.33519322,0.1079993,0.075320273,0.65641232,0.010511303,0.051807884,0.15982186,0.0087850821,0.063314435,0.069593828,0.018599398,0.062604373,0.10786892,0.017227117,0.064904322,0.41444099,0.073199717,0.044284792,0.088627702,0.39353262,0.022502998,0.046698757,0.15521876,0.11495954,0.029804792,0.050641255,0.49470541,0.096453099,0.03875692,0.0052092425,0.046200805,0.66144148,0.092929632,0.03366774,0.069800954,0.024488234,0.049898562,0.014718031,0.061678718,0.019536504,0.086371179,0.01331454,0.006951017,0.011784694,0.11204651,0.012062159,0.12180613,0.056214332,0.15337093,0.011132621,0.00083505642,0.070112756,0.13667551,0.16243638,0.029705105,0.019172293,0.019168378,0.043214793,0.070318706,0.024437689,0.0063974353,0.015817026,0.14036923,0.009089971,0.15718201,0.029305084,0.012503703,0.15233427,0.031344334,0.021502364,0.021249758,0.12879783,0.053874282,0.015226839,0.0022117982,0.024649551,0.0017095935,0.13821417,0.031412769,0.022607029,0.38000163,0.041817955,0.090344881,0.046891892,0.079333387,0.00088383193,0.019422063,0.0011845201,0.0019190725,0.032862224,0.010114829,0.033210794,0.032558927,0.016395867,0.005018545,0.035388559
