,Beijing,Guangzhou,Shanghai,Wuhan,Chengdu,Shenyang,Tianjin,Xian,Chongqing,Jinan,Haerbin,Hangzhou,Nanjing,Taiyuan,Changchun,Zhengzhou,Nanning,Kunming,Foshan,Shijiazhuang,Fuzhou,Shenzhen,Changsha,Qingdao,Dalian,Wulumuqi,Hefei,Jilin,Shiyan,Nanchang,Tangshan,Guiyang,Lanzhou,Yinchuan,Liuzhou,Dongguan,Guilin,Anshan,Shantou,Huhehaote,Wenzhou,Zhanjiang,Benxi,Zhenjiang,Xining,Baotou,Changzhou,Zhongshan,Kaifeng,Suuzhou,Qiqihaer,Jinzhou,Huizhou,Weifang,Jincheng,Xiangfan,Fushun,Cangzhou,Jingzhou,Xuzhou,Chengde,Nantong,Yantai,Hengyang,Liaocheng,Taian,Dandong,Yichang,Jiangmen,Yibin,Zhuzhou,Yangzhou,Zunyi,Datong,Xiamen,Mianyang,Jiamusi,Zibo,Zhangjiakou,Dongying,Jiaozuo,Langfang,Chaoyang,Anyang,Baise,Maoming,Jining,Baoding,Zhuhai,Bengbu,Handan,Suining,Yulin,Wuhu,Nanyang,Luzhou,Changde,Zaozhuang,Yanbian,Quanzhou,Yuxi,Zhaoqing,Binnzhou,Jinhua,Xinxiang,Luoyang,Tianshui,Shaoguan,Puyang,Nanchong,Xingtai,Tieling,Fuxin,Wuzhou,Qinhuangdao,Qingyuan,Ganzhou,Qinzhou,Yuulin,Shihezi,Meizhou,Huaihua,Shaoyang,Baoji,Suihua,Changzhi,Liaoyang,Yangjiang,Pingdingshan,Mudanjiang,Anqing,Xiangtan,Panjin,Yiyang,Qianjiang,Yingkou,Enshi,Luohe,Zhoukou,Linyi,Xiaogan,Huanggang,Hengshui,Jixi,Huangshi,Yili,Panzhihua,Xuchang,Taiizhou,Hechi,Wuxi,Xianyang,Weinan,Loudi,Kelamayi,Shangrao,Shuangyashan,Liaoyuan,Ezhou,Tongchuan,Xishuangbanna,Xianning,Heze,Daqing,Dezhou
Aba,17.229973,9.8987088,9.7641408,5.5688827,144.25247,3.8663906,9.5295773,16.193,25.602822,6.2767384,1.3494727,4.4144195,5.5335245,4.7931505,0.66605365,4.748918,1.4774453,4.9994578,2.7400168,2.9692944,2.5775955,1.603808,3.460142,1.8757317,1.1286976,1.0661831,1.0310296,0.73576898,2.1473231,0.80070982,1.6310521,1.7014398,5.1351181,1.9395431,1.0170551,0.73278798,1.1717308,0.50720615,0.58800236,1.3814773,0.32231369,0.75641459,0.10342511,1.1838151,0.15698516,0.41783147,1.3651298,1.0004136,1.3692482,2.0685573,0.36577674,0.44734806,0.66533158,1.0081877,0.49893542,1.0705219,0.66113139,1.1553619,1.0702026,0.86179005,1.2608227,0.47137381,0.57923329,0.68147047,0.5041508,0.94622126,0.27655234,1.6012983,0.97071565,1.8569552,0.48707933,0.77219059,1.3713119,0.25995266,0.25293155,20.552507,0.13763646,1.011451,1.6024844,0.30594264,1.2460694,2.1453362,0.31390784,1.1981142,0.31932953,0.16794684,0.67943577,1.9624634,1.0929806,0.26194749,0.97018054,4.4100538,0.23245851,0.25968572,0.80133577,1.9529469,0.55513887,0.55669432,0.075037661,0.24442172,1.2894781,0.24390618,0.57558823,0.52189662,0.45555556,1.0041334,1.3688822,0.20822106,0.34763829,2.7779,0.28167804,0.11435212,0.18607071,0.2503899,0.22139783,0.35549847,0.24691352,0.25953772,0.39852277,0.029120886,0.30316402,0.3922433,0.43692454,1.5393247,0.29649038,0.43409152,0.64959318,0.17923578,0.42184607,0.095873031,0.13153267,0.60088379,0.14525203,0.70898476,0.21741455,0.18448579,1.2701006,0.46079851,0.30459653,0.30507655,1.244229,0.47970617,0.30793761,0.033912499,0.18662194,0.053836017,0.78577385,0.52603647,0.17328114,0.28096826,0.40382207,3.6016023,1.3854765,0.31290423,0.031015226,0.13972355,0.018393354,0.029677667,0.28010303,0.34103075,0.10523334,0.22725847,0.26802042,0.089475023,0.65766393
Akesu,30.138714,7.77547,11.100993,3.5632473,8.9323816,9.7028952,15.377535,5.4907395,6.1098185,7.5400246,4.8149376,4.3185967,5.4527832,4.9727804,2.0903206,3.4341383,0.99402633,2.5056984,2.1421468,3.6192518,2.4824201,1.3363504,2.0187941,2.6126888,2.2163083,243.58254,0.90081452,2.2127085,0.83866158,0.60078447,2.8632513,0.609284,1.9651532,1.8309953,0.56662613,0.59396255,0.6678648,1.1024678,0.53287855,2.3035523,0.33005349,0.63526089,0.25284387,1.2251851,0.10454064,0.84271849,1.3795419,0.82219023,1.0997919,2.2623848,1.5381241,0.99893519,0.54911043,1.3376729,0.37439572,0.52100187,1.6688522,1.6139133,0.56515382,0.86702015,2.6278673,0.54238185,0.88644207,0.40481308,0.54531507,1.0567877,0.62467574,0.67759515,0.78914729,0.36120258,0.30795828,0.82148636,0.39119214,0.40246025,0.23592384,1.0476234,0.56146691,1.2736313,2.9742526,0.4378422,0.9174267,3.2841453,0.69325642,1.0600719,0.19518919,0.13239657,0.7026518,2.808033,0.91662473,0.24212041,0.96412677,0.48215105,0.17300413,0.23696342,0.43541776,0.41466118,0.25784602,0.58185436,0.226136,0.22703575,0.82715445,0.1777994,0.78376049,0.52182447,0.37482067,0.59175307,0.26055738,0.15142954,0.3329931,0.35068286,0.31274907,0.30653868,0.46525411,0.1783593,0.41580971,0.25340764,0.1888896,0.19381949,0.36203133,10.83531,0.25831906,0.17343341,0.22159982,0.38703826,1.1626444,0.37496949,1.5074895,0.14429004,0.26933256,0.32215889,0.10347843,0.33799146,0.32407891,0.35850289,0.11561603,0.39148255,0.41838044,0.31976868,0.23521533,0.34927738,0.76200219,0.34032534,0.38577937,0.12420684,0.12742578,80.023057,0.31355795,0.37013586,0.1846324,0.15839205,0.43679899,1.2951576,0.65933286,0.1520895,11.525436,0.12142813,0.071742693,0.08211767,0.19001504,0.15014431,0.10904813,0.14256991,0.25078273,0.33384454,0.81360657
Alaer,12.23848,3.3169846,4.6257602,1.4831145,3.7206054,3.9714761,6.2649236,2.2461004,2.5486277,3.0894028,1.9788857,1.8036493,2.2647327,2.0154115,0.85702147,1.4090498,0.42721182,1.0782082,0.91532941,1.4713171,1.0472915,0.57101958,0.84735848,1.0745979,0.90869181,74.540482,0.37402727,0.9089445,0.34608257,0.25171682,1.1673712,0.25841007,0.78703376,0.72927588,0.24145609,0.25364906,0.28378271,0.45222796,0.22678948,0.92494704,0.13856003,0.27424525,0.10384427,0.5088393,0.04147321,0.33653421,0.5737377,0.35167811,0.45177378,0.94174626,0.6294059,0.40811535,0.23410703,0.54940603,0.15295915,0.21563693,0.68460077,0.65830455,0.23582237,0.35753803,1.0671957,0.22538702,0.36428092,0.17082826,0.22314731,0.43358191,0.25650495,0.28170801,0.33806138,0.15223898,0.12974493,0.34060012,0.16478579,0.16267255,0.09991761,0.43291167,0.23179711,0.52242523,1.2031109,0.17931266,0.37566537,1.3367388,0.28271173,0.43434945,0.083898025,0.056894811,0.28867863,1.1404926,0.39249258,0.10014396,0.39372253,0.20067547,0.074319011,0.09859208,0.17947847,0.17462024,0.10782683,0.23949732,0.093182452,0.096026434,0.35818898,0.075901641,0.32071592,0.21840122,0.1535732,0.24271551,0.10589515,0.064284124,0.1363899,0.14546089,0.12750022,0.12558111,0.19006658,0.076334798,0.16964473,0.10782599,0.079881114,0.083489285,0.14580822,3.3006245,0.10968746,0.073087132,0.093571153,0.15782172,0.47700975,0.15278327,0.61785492,0.061932402,0.11071447,0.13273061,0.043100828,0.14216292,0.13258858,0.15048219,0.048155764,0.1603944,0.17435328,0.13168665,0.096928354,0.14375175,0.31657903,0.14164586,0.15732375,0.051279818,0.053168206,26.686344,0.13427599,0.15219333,0.077326262,0.067794104,0.18166011,0.52784375,0.2690265,0.063972202,3.8282087,0.050859511,0.02962796,0.033686048,0.079183408,0.061128548,0.047934032,0.059541009,0.10297712,0.13663231,0.33261429
Alashan,63.214646,6.4623985,13.797374,4.9968922,10.218603,13.355707,30.072495,12.984678,7.9203967,13.960928,5.0411024,5.2975868,7.5276474,14.331521,2.4637385,6.9690225,0.69274819,1.4704848,1.7240906,8.6554737,2.5119123,1.0779389,2.3458293,4.1201984,3.2852751,5.469409,1.2828985,2.5529171,1.5041495,0.71659903,5.2453368,0.52718084,9.1433978,15.920417,0.4684794,0.48395504,0.59110956,1.5419001,0.46261691,7.9985692,0.36185667,0.41711529,0.32391994,1.6737461,0.45557037,3.3912429,1.8366289,0.6497209,2.1083394,2.902837,1.612657,1.5323924,0.46206819,2.229966,0.86865626,0.85727425,2.1683428,3.235373,0.75382092,1.4166021,4.9880267,0.7125714,1.3789811,0.418149,1.0866109,1.9257787,0.83487731,0.99101778,0.6046748,0.33048929,0.32926711,1.1579712,0.39438159,1.0734142,0.22336264,1.5449511,0.50357421,2.2460234,6.9463165,0.76904331,1.9813847,6.7991601,1.1257326,2.1520178,0.13245137,0.094988684,1.261706,6.4692923,0.70819666,0.37370887,2.1131004,0.61119729,0.12406925,0.31965357,0.79801723,0.3996964,0.32617979,0.98803522,0.24372364,0.22023102,0.43859138,0.14522217,1.4393298,0.61090844,0.77416199,1.2508271,0.72650345,0.13869314,0.66906078,0.50237851,0.69994194,0.3990206,0.67202378,0.1377983,0.72178751,0.22082863,0.18609973,0.1307057,1.4812612,0.14076494,0.23456554,0.18211013,0.22423159,1.0029791,1.2003687,0.92233892,2.086258,0.10628754,0.52621054,0.33046518,0.13940433,0.37477152,0.47914979,0.41585806,0.1610677,0.57070798,0.57091219,0.58479205,0.41533919,0.57917172,1.1213639,0.47285523,0.81573345,0.11731444,0.16778816,0.2113416,0.18663631,0.70764147,0.21044066,0.11778736,0.57287319,3.4968048,1.6974128,0.16804104,0.14973092,0.14329342,0.065371409,0.10191586,0.2578494,0.42134638,0.044240935,0.18487971,0.46991662,0.3730588,1.5962236
Aletai,2.0422527,0.31683394,0.59099604,0.17474853,0.35402019,0.67734254,1.0099081,0.28094891,0.26324088,0.45502911,0.35241894,0.22004394,0.29040793,0.30908064,0.15119248,0.18955137,0.03642307,0.0828022,0.085845757,0.22827545,0.11596285,0.054175865,0.091150603,0.15815647,0.14594683,35.908824,0.047151706,0.15691516,0.041269283,0.028579784,0.19032333,0.023235356,0.10304015,0.114363,0.022007273,0.024092251,0.026808817,0.073867444,0.02277505,0.1612106,0.016244213,0.023231228,0.017215263,0.065811807,0.0053677753,0.062118592,0.07303596,0.032917007,0.061204354,0.12059464,0.11931965,0.068834307,0.022702546,0.080974149,0.021292725,0.025742042,0.11516088,0.10256478,0.026469627,0.048758137,0.18415788,0.029549921,0.054893991,0.017465956,0.032561853,0.062475593,0.041913866,0.031818062,0.031056672,0.013647441,0.013606626,0.044890008,0.015609253,0.027172638,0.010594577,0.044531236,0.041097072,0.076994658,0.20735007,0.027336687,0.051384756,0.21458984,0.04813461,0.060816154,0.0069945513,0.0050179024,0.040668263,0.18306727,0.036429108,0.013152668,0.057416827,0.019970194,0.0065052202,0.012297427,0.022447442,0.016028027,0.011665158,0.033334428,0.015747396,0.010307388,0.02656772,0.0071014135,0.04872441,0.026236709,0.021266382,0.031818865,0.012941716,0.0063818961,0.019386918,0.015116527,0.01914275,0.02157439,0.032795061,0.0069137826,0.027900359,0.010405881,0.0083094069,0.0070762608,0.022436972,1.2221503,0.011153288,0.0072754367,0.0092932935,0.019521067,0.087608022,0.022084467,0.10282007,0.0055584653,0.014440513,0.022956123,0.0052006751,0.01490502,0.022156813,0.015869933,0.0055005839,0.026285614,0.018752901,0.017139697,0.012750716,0.020335592,0.037684697,0.016943283,0.024071691,0.0088937631,0.0061844311,0.64501288,0.010288409,0.020082359,0.0093337049,0.0058724147,0.023397742,0.06787038,0.035498428,0.0065748746,1.447537,0.0059274863,0.0051937746,0.0057724325,0.0093080641,0.0080885939,0.0032135959,0.0067851209,0.01432725,0.025257315,0.049989572
Ali,0.83082673,0.39820429,0.40935943,0.14442827,0.44754244,0.25437145,0.43940139,0.20590939,0.2842196,0.23821438,0.11612291,0.16809807,0.20079897,0.15091574,0.051816718,0.12007734,0.057800013,0.16387741,0.11195495,0.10838487,0.10770084,0.068922484,0.090587169,0.082203088,0.062701062,1.1977747,0.033847062,0.056086784,0.033359016,0.025389272,0.080566986,0.033274932,0.067213642,0.053371937,0.030583652,0.030601486,0.034639047,0.030441145,0.025787217,0.061240381,0.01342112,0.037136099,0.0068054134,0.044655842,0.003481552,0.021176345,0.051196076,0.043047866,0.038169455,0.083284882,0.034660074,0.026765469,0.027644382,0.042103892,0.012604881,0.020762362,0.044209682,0.047946085,0.024162597,0.02983292,0.069526477,0.019431963,0.027110501,0.0192273,0.017432982,0.034216849,0.017173319,0.028702691,0.042182669,0.019624399,0.014220454,0.029312586,0.020103229,0.011148205,0.010745956,0.047982571,0.01324966,0.0401605,0.079450479,0.013278118,0.031493603,0.094456938,0.018450949,0.035483026,0.011641816,0.0074061092,0.023335047,0.080981978,0.048425509,0.0086897385,0.030870923,0.023144703,0.0097635615,0.0090064075,0.016480231,0.02198064,0.011477705,0.019571935,0.0058242651,0.010201555,0.056398334,0.0093205458,0.023898481,0.020658323,0.012698778,0.021255312,0.0098397505,0.0074339206,0.010961621,0.01605412,0.0097006599,0.0079251468,0.012088568,0.0096930128,0.011555325,0.012835616,0.0088011234,0.011338056,0.010913937,0.039842517,0.012336799,0.0084714816,0.010863268,0.014577914,0.027034397,0.012120803,0.040685543,0.0079148551,0.0097390912,0.0080118817,0.0040846619,0.015605547,0.0087521748,0.016433386,0.0048472808,0.010803413,0.018672723,0.01159779,0.0084334347,0.01152588,0.030526816,0.013566635,0.011708989,0.0030363047,0.005241193,0.1320723,0.020466322,0.013221448,0.0072623361,0.0090492686,0.01598075,0.047032518,0.02340403,0.0071737014,0.043779123,0.0049802461,0.0017205262,0.0021182841,0.0077234938,0.005298988,0.0083599017,0.0059988868,0.0084501716,0.0078000197,0.025156307
Ankang,8.8160307,3.2017013,6.8230281,7.0946485,6.2961749,3.2968518,5.2429418,105.69355,34.13521,3.6097327,1.0009445,5.4982013,4.764958,3.0288933,0.2729622,11.194154,0.75846271,1.1219318,0.88119351,1.919142,1.3940614,0.54841532,2.2146974,0.98291451,1.0864028,0.24037193,1.004743,0.58267624,22.793283,0.62131647,0.85446458,0.46988924,0.44492749,0.35750798,0.65718342,0.2474637,0.28139393,0.46359543,0.49774707,0.50342271,0.35178705,0.14727999,0.039451985,0.97129983,0.022086181,0.28736261,1.1052697,0.3374778,2.7727258,1.5537809,0.25274489,0.20950598,0.53309846,1.2383527,0.33814382,2.8143263,0.56347858,0.62956607,2.1960386,0.62889133,1.1353294,0.57335779,0.64282516,0.31963021,0.31332971,0.61739565,0.24782789,1.1935508,0.28031566,0.21280021,0.57448589,0.56589575,0.79485239,0.25544286,0.10391179,1.3808576,0.097667689,0.58366195,1.4638759,0.35746376,2.8259706,1.2296482,0.14860566,2.1585626,0.044714457,0.034231885,0.4245429,2.1755622,0.77306243,0.20242391,0.65738883,0.7005611,0.049419113,0.20637918,1.1575319,0.61128907,0.32045198,0.35516721,0.05933678,0.23783195,0.151253,0.1794729,0.28747274,0.3634492,0.39619754,3.371626,0.22210592,0.088364671,0.24535493,1.5666852,0.39125665,0.05038263,0.15813577,0.054134228,0.10936821,0.29119804,0.25001241,0.13564163,0.40370733,0.0030677375,0.0924572,0.096405859,0.43766781,0.74901301,0.21173224,0.26820398,0.26790341,0.041537893,0.45090058,0.030746154,0.094391473,0.29719884,0.13088011,1.0168286,0.26897912,0.17063757,3.2172649,0.46438136,0.63067126,0.19240964,1.6832303,0.84972892,0.1776261,0.024966107,0.19746958,0.012094797,0.1229258,0.53762619,0.080486001,0.14227595,0.31509758,10.080185,2.4086142,0.083289085,0.0030207249,0.10113168,0.013251971,0.012539818,0.32786128,0.89250304,0.025220569,0.39220909,0.4525082,0.030979032,0.34152055
Anqing,27.621765,17.951186,115.69067,61.862568,2.0183956,12.375845,21.087168,8.6081852,11.515086,25.607924,3.5441921,214.76747,155.14181,3.0208385,0.96205277,22.21072,1.6621773,1.1559226,4.9651839,4.2255981,18.2406,3.1563061,13.595841,8.7670847,4.9208621,0.2496531,72.854414,2.2420771,3.383307,25.503699,3.4004387,0.39783279,0.19517576,0.23375629,1.4180168,1.3769988,1.2238679,2.0353023,3.9214011,0.55259657,7.4125115,0.60079452,0.1402679,25.307089,0.011783442,0.3455821,28.491923,1.8676223,9.6532803,29.289507,0.74485534,0.78358275,3.1629347,7.3987203,0.61180207,1.8859369,2.2892166,3.0297002,9.3263481,9.4718906,3.0555257,10.796965,3.7856563,1.9202054,1.4861829,4.9988469,1.1127495,2.3042566,1.516531,0.10732447,4.0571591,12.971393,0.5845803,0.44323487,1.1608484,0.25376863,0.35106217,4.1563749,3.0263841,1.6319715,4.4059192,4.1090915,0.49486583,6.3356895,0.10269065,0.1525451,3.7224393,4.9152833,3.5913966,5.8382075,1.6261121,0.17113245,0.1843309,16.771707,1.3743431,0.36724506,0.67062228,4.4997225,0.24698902,3.0087436,0.18397306,0.72240052,1.6572663,6.8447997,0.97829247,2.7149427,0.063437427,0.63984909,0.84624562,0.34071878,0.92777433,0.18131784,0.55310172,0.25098245,0.42528252,1.3732365,2.3966382,0.33753044,0.28580155,0.0029055917,0.90982563,0.35793777,1.1083504,0.15073679,0.68511763,0.4517268,0.97158845,0.21764723,0.79555647,0.10466723,0,1.83593,0.50556481,3.1925454,0.84480908,0.71938781,1.4972231,1.483477,3.6601918,1.8782802,8.8955789,72.531865,0.71935624,0.095828737,5.8190872,0.013242603,0.10397623,1.3718372,1.2249895,0.25385374,6.5362584,1.5514618,0.41995167,0.43733542,0.0029522316,2.7849513,0.049220031,0.044613485,5.5288649,0.20145454,0.033569525,6.3933734,2.1141428,0.10404752,2.1103105
Anshan,37.59917,0.85473421,9.1905217,0.83356164,0.23145796,210.28992,27.385065,0.47694517,0.36234227,8.6104837,10.672867,2.2323474,3.6089656,1.3772443,8.9248719,1.0183385,0.050638099,0.052460728,0.21220744,1.9863958,0.73876707,0.1492946,0.30034901,7.0440047,92.311883,0.054935749,0.44109644,11.329176,0.098865506,0.15295209,8.3181964,0.025873869,0.048005842,0.086121759,0.035868302,0.065107023,0.052051296,0,0.087687231,0.51517704,0.1439552,0.03769309,7.0447145,0.92685711,0.0014334484,0.12674185,0.92767331,0.084158928,0.42888293,1.7963348,1.7275122,15.625193,0.068553085,2.7009459,0.099124094,0.083116187,40.524601,2.0396031,0.088048565,0.68043654,5.0236009,0.53601606,3.9320238,0.048705115,0.39776047,1.0115251,67.135639,0.082860462,0.072120118,0.010649714,0.044497663,0.71193698,0.018525661,0.18520487,0.053654309,0.032505126,0.67765326,1.8905783,2.1488285,1.0122964,0.26094804,4.1307551,4.8048587,0.47383622,0.0080592406,0.0093768631,0.55315061,2.0996876,0.090896317,0.14735518,0.47358912,0.017418115,0.011164922,0.12150795,0.082674687,0.01437739,0.030719736,0.50208581,0.85941062,0.055001062,0.016806461,0.016333616,1.3181726,0.25536303,0.14018698,0.11742321,0.010749751,0.019113644,0.18029932,0.015046292,0.17954402,3.9559804,5.7236151,0.01342531,1.9390375,0.026950998,0.031920482,0.010413943,0.044649008,0.0016132111,0.043004149,0.014082485,0.020033126,0.022845741,1.7955262,0.11276955,159.98316,0.011483618,0.065490393,0.80723437,0.03621537,0.043229167,12.011955,0.042228844,0.019141842,45.257581,0.035444819,0.095093313,0.089499717,0.41268031,0.17104281,0.097775692,0.32711892,0.20526081,0.031460385,0.0028228352,0.0052966084,0.11002476,0.099768516,0.0076469891,0.35160845,0.10455368,0.077986438,0.01547434,0.0019057279,0.042368089,0.097149107,0.80151507,0.048206321,0.014535123,0.0016911801,0.029063555,0.14325479,0.59847338,0.85467388
Anshun,2.4148738,10.174356,3.1974182,1.9903741,6.0927715,0.6543772,1.4627034,1.4843802,8.5487754,1.1368216,0.22854377,1.6422813,1.6745229,0.55333132,0.1115655,0.82124861,3.8202423,8.2911171,3.0699724,0.40540297,1.3598077,1.5821326,2.1186015,0.38836133,0.20657208,0.090567734,0.31455413,0.12934075,0.39281863,0.38088736,0.25710627,15.657318,0.14867083,0.10840135,2.5979431,0.74339062,1.9839662,0.092528642,0.43827836,0.13858132,0.13991826,1.1364655,0.019024568,0.35431858,0.0046391424,0.038482406,0.43225166,1.0584598,0.25832701,0.66170237,0.055177523,0.073607915,0.60909056,0.19953909,0.071169338,0.26434535,0.11753346,0.18196844,0.45894437,0.19719776,0.17908235,0.14056191,0.11597801,0.59307848,0.085924149,0.17901924,0.051442141,0.52258547,1.1241064,1.0265182,0.35417755,0.21632224,2.027886,0.031126525,0.15532543,0.47631391,0.024074606,0.19112017,0.2028376,0.055056169,0.19636677,0.31819637,0.049415212,0.20613356,1.3741124,0.24384345,0.13436092,0.2689977,1.1635425,0.06777684,0.14941342,0.44765561,0.39462445,0.085431675,0.15992305,1.517776,0.2884338,0.11862773,0.014019858,0.14437734,2.0514075,0.3047424,0.10057505,0.20709719,0.076806417,0.15699132,0.045923069,0.19274603,0.060030655,0.26446969,0.041744876,0.019507563,0.030209958,0.38781913,0.0355752,0.38830808,0.1775654,0.51216256,0.033612301,0.0025904069,0.22576618,0.44933144,0.50747264,0.086759583,0.047493467,0.058281031,0.11489913,0.23219516,0.076791894,0.017277532,0.046962953,0.43854002,0.024738586,0.48119485,0.082526176,0.032793349,0.46934321,0.09468268,0.066005949,0.064891828,0.40209625,0.16856949,0.04735659,0.0061626518,0.075160487,0.0052043828,0.4318959,0.10017382,0.068340059,1.2619085,0.12564726,0.27579111,0.14248539,0.26244895,0.0028420689,0.060841098,0.0032856138,0.0051741154,0.10567129,0.029152562,0.091916412,0.098765353,0.051190585,0.013928485,0.11020924
